Gene	Ensembl	regulator	Gene.synonym	Gene.description
TSPAN6	ENSG00000000003	0	T245, TM4SF6, TSPAN-6	Tetraspanin 6
TNMD	ENSG00000000005	0	BRICD4, ChM1L, myodulin, TEM, tendin	Tenomodulin
DPM1	ENSG00000000419	0	CDGIE, MPDS	Dolichyl-phosphate mannosyltransferase subunit 1, catalytic
SCYL3	ENSG00000000457	0	PACE-1, PACE1	SCY1 like pseudokinase 3
C1orf112	ENSG00000000460	0	FLJ10706	Chromosome 1 open reading frame 112
FGR	ENSG00000000938	0	c-fgr, p55c-fgr, SRC2	FGR proto-oncogene, Src family tyrosine kinase
CFH	ENSG00000000971	0	ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS	Complement factor H
FUCA2	ENSG00000001036	0	dJ20N2.5, MGC1314	Alpha-L-fucosidase 2
GCLC	ENSG00000001084	0	GCS, GLCL, GLCLC	Glutamate-cysteine ligase catalytic subunit
NFYA	ENSG00000001167	1	CBF-B, HAP2, NF-YA	Nuclear transcription factor Y subunit alpha
STPG1	ENSG00000001460	0	C1orf201, FLJ33340, MAPO2	Sperm tail PG-rich repeat containing 1
NIPAL3	ENSG00000001461	0	DJ462O23.2, NPAL3	NIPA like domain containing 3
LAS1L	ENSG00000001497	0	FLJ12525, Las1	LAS1 like ribosome biogenesis factor
ENPP4	ENSG00000001561	0	AP3Aase, KIAA0879, NPP4	Ectonucleotide pyrophosphatase/phosphodiesterase 4
SEMA3F	ENSG00000001617	0	Sema4, SEMAK	Semaphorin 3F
CFTR	ENSG00000001626	0	ABC35, ABCC7, CF, CFTR/MRP, dJ760C5.1, MRP7, TNR-CFTR	CF transmembrane conductance regulator
ANKIB1	ENSG00000001629	0	DKFZP434A0225, KIAA1386	Ankyrin repeat and IBR domain containing 1
CYP51A1	ENSG00000001630	0	CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1	Cytochrome P450 family 51 subfamily A member 1
KRIT1	ENSG00000001631	0	CAM, CCM1	KRIT1 ankyrin repeat containing
RAD52	ENSG00000002016	0		RAD52 homolog, DNA repair protein
BAD	ENSG00000002330	0	BBC2, BCL2L8	BCL2 associated agonist of cell death
LAP3	ENSG00000002549	0	LAP, LAPEP, PEPS	Leucine aminopeptidase 3
CD99	ENSG00000002586	0	MIC2	CD99 molecule (Xg blood group)
HS3ST1	ENSG00000002587	0	3OST1	Heparan sulfate-glucosamine 3-sulfotransferase 1
AOC1	ENSG00000002726	0	ABP, ABP1, DAO	Amine oxidase copper containing 1
WNT16	ENSG00000002745	0		Wnt family member 16
HECW1	ENSG00000002746	0	KIAA0322, NEDL1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
MAD1L1	ENSG00000002822	0	HsMAD1, MAD1, PIG9, TP53I9, TXBP181	Mitotic arrest deficient 1 like 1
LASP1	ENSG00000002834	0	Lasp-1, MLN50	LIM and SH3 protein 1
SNX11	ENSG00000002919	0		Sorting nexin 11
TMEM176A	ENSG00000002933	0	HCA112, MS4B1	Transmembrane protein 176A
M6PR	ENSG00000003056	0	CD-M6PR, CD-MPR	Mannose-6-phosphate receptor, cation dependent
KLHL13	ENSG00000003096	0	BKLHD2, FLJ10262, KIAA1309	Kelch like family member 13
CYP26B1	ENSG00000003137	0	P450RAI-2	Cytochrome P450 family 26 subfamily B member 1
ICA1	ENSG00000003147	0	ICA69, ICAp69	Islet cell autoantigen 1
DBNDD1	ENSG00000003249	0	FLJ12582, MGC3101	Dysbindin domain containing 1
ALS2	ENSG00000003393	0	ALS2CR6	Alsin Rho guanine nucleotide exchange factor ALS2
CASP10	ENSG00000003400	0	FLICE-2, MCH4	Caspase 10
CFLAR	ENSG00000003402	0	c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT	CASP8 and FADD like apoptosis regulator
TFPI	ENSG00000003436	0	EPI, LACI, TFI, TFPI1	Tissue factor pathway inhibitor
NDUFAF7	ENSG00000003509	0	C2orf56, MidA, PRO1853	NADH:ubiquinone oxidoreductase complex assembly factor 7
RBM5	ENSG00000003756	0	H37, LUCA-15, LUCA15	RNA binding motif protein 5
MTMR7	ENSG00000003987	0		Myotubularin related protein 7
SLC7A2	ENSG00000003989	0	ATRC2, CAT-2, HCAT2	Solute carrier family 7 member 2
ARF5	ENSG00000004059	0		ADP ribosylation factor 5
SARM1	ENSG00000004139	0	KIAA0524, SAMD2, SARM	Sterile alpha and TIR motif containing 1
POLDIP2	ENSG00000004142	0	DKFZP586F1524, PDIP38	DNA polymerase delta interacting protein 2
PLXND1	ENSG00000004399	0	KIAA0620	Plexin D1
AK2	ENSG00000004455	0		Adenylate kinase 2
CD38	ENSG00000004468	0		CD38 molecule
FKBP4	ENSG00000004478	0	FKBP52, FKBP59	FKBP prolyl isomerase 4
KDM1A	ENSG00000004487	0	AOF2, BHC110, KDM1, KIAA0601, LSD1	Lysine demethylase 1A
RBM6	ENSG00000004534	0	3G2, DEF-3, DEF3, g16, NY-LU-12	RNA binding motif protein 6
CAMKK1	ENSG00000004660	0	CAMKKA, DKFZp761M0423, MGC34095	Calcium/calmodulin dependent protein kinase kinase 1
RECQL	ENSG00000004700	0	RecQ1, RecQL1	RecQ like helicase
VPS50	ENSG00000004766	0	CCDC132, DKFZp313I2429, FLJ20097, KIAA1861, VPS54L	VPS50 subunit of EARP/GARPII complex
HSPB6	ENSG00000004776	0	FLJ32389, Hsp20, PPP1R91	Heat shock protein family B (small) member 6
ARHGAP33	ENSG00000004777	0	FLJ39019, SNX26, TCGAP	Rho GTPase activating protein 33
NDUFAB1	ENSG00000004779	0	ACP, ACP1, FASN2A, SDAP	NADH:ubiquinone oxidoreductase subunit AB1
PDK4	ENSG00000004799	0		Pyruvate dehydrogenase kinase 4
