uniq_isos	iso_ensgs	iso_gnames	regulator
CT45A5	ENSG00000228836	CT45A5	0
DSCR8	ENSG00000198054	DSCR8	0
NXF2	unmapped-many	NXF2	0
MAGEA4	ENSG00000147381	MAGEA4	0
CT45A1	unmapped-many	CT45A1	0
ZNF679	ENSG00000197123	ZNF679	1
DLK1	ENSG00000185559	DLK1	0
CTAG1B	ENSG00000184033	CTAG1B	0
MAGEA11	ENSG00000185247	MAGEA11	0
SSX4	unmapped-many	SSX4	0
XAGE2	ENSG00000155622	XAGE2	0
ZNF716	ENSG00000182111	ZNF716	1
HTR2C	ENSG00000147246	HTR2C	0
MAGEA1	ENSG00000198681	MAGEA1	0
KC6	ENSG00000267313	KC6	0
MAGEA9B	ENSG00000267978	MAGEA9B	0
NPY	ENSG00000122585	NPY	0
EDN3	ENSG00000124205	EDN3	0
GAGE2D	ENSG00000236362	GAGE2D	0
MAGEC2	ENSG00000046774	MAGEC2	0
DSCR4	ENSG00000184029	DSCR4	0
GAB4	ENSG00000215568	GAB4	0
MAGEA10	ENSG00000124260	MAGEA10	0
KRTAP4-1	ENSG00000198443	KRTAP4-1	0
CT45A4	unmapped-none	CT45A4	0
SAGE1	ENSG00000181433	SAGE1	0
LIN28B	ENSG00000187772	LIN28B	0
POU6F2	ENSG00000106536	POU6F2	1
ZFP42	ENSG00000179059	ZFP42	1
ARX	ENSG00000004848	ARX	1
GABRG2	ENSG00000113327	GABRG2	0
FAM9C	ENSG00000187268	FAM9C	0
NAP1L6	ENSG00000204118	NAP1L6	0
H2BFWT	ENSG00000123569	H2BFWT	0
DEFB126	ENSG00000125788	DEFB126	0
WIF1	ENSG00000156076	WIF1	0
AACSP1	ENSG00000250420	AACSP1	0
SULT1E1	ENSG00000109193	SULT1E1	0
TCN1	ENSG00000134827	TCN1	0
CRYGD	ENSG00000118231	CRYGD	0
FLJ36000	ENSG00000276399	FLJ36000	0
FSTL5	ENSG00000168843	FSTL5	0
CSMD1	ENSG00000183117	CSMD1	0
NELL1	ENSG00000165973	NELL1	0
OOEP	ENSG00000203907	OOEP	0
LRRTM3	ENSG00000198739	LRRTM3	0
UNC5D	ENSG00000156687	UNC5D	0
REG1A	ENSG00000115386	REG1A	0
GLYATL2	ENSG00000156689	GLYATL2	0
LOC400940	unmapped-none	LOC400940	0
POTEC	ENSG00000183206	POTEC	0
LPA	ENSG00000198670	LPA	0
DCAF8L2	ENSG00000189186	DCAF8L2	0
LPPR1	unmapped-none	LPPR1	0
GABRR1	ENSG00000146276	GABRR1	0
ALLC	ENSG00000151360	ALLC	0
PDCL2	ENSG00000163440	PDCL2	0
CFHR1	ENSG00000244414	CFHR1	0
GAGE4	unmapped-many	GAGE4	0
HBE1	ENSG00000213931	HBE1	0
TPTE	ENSG00000274391	TPTE	0
CA10	ENSG00000154975	CA10	0
PRDM9	ENSG00000164256	PRDM9	1
CNTNAP5	ENSG00000155052	CNTNAP5	0
PFN3	ENSG00000196570	PFN3	0
MYO18B	ENSG00000133454	MYO18B	0
LOC150622	unmapped-none	LOC150622	0
FAM150A	ENSG00000196711	FAM150A	0
FAM46D	ENSG00000174016	FAM46D	0
CALCB	ENSG00000175868	CALCB	0
VCX	ENSG00000182583	VCX	0
TAS2R38	ENSG00000257138	TAS2R38	0
C3orf30	ENSG00000163424	C3orf30	0
TAC3	ENSG00000166863	TAC3	0
MYL7	ENSG00000106631	MYL7	0
SLC6A10P	ENSG00000214617	SLC6A10P	0
C16orf82	ENSG00000234186	C16orf82	0
LECT1	ENSG00000136110	LECT1	0
PANX3	ENSG00000154143	PANX3	0
SPRR2F	ENSG00000244094	SPRR2F	0
MAGEA6	ENSG00000197172	MAGEA6	0
CFHR3	ENSG00000116785	CFHR3	0
GALNT8	ENSG00000130035	GALNT8	0
CMTM5	ENSG00000166091	CMTM5	0
FCN2	ENSG00000160339	FCN2	0
PHF2P1	unmapped-none	PHF2P1	0
ASCL1	ENSG00000139352	ASCL1	1
GABRA3	ENSG00000011677	GABRA3	0
SLCO6A1	ENSG00000205359	SLCO6A1	0
SSX6	ENSG00000171483	SSX6	0
OR56A5	ENSG00000188691	OR56A5	0
CDH10	ENSG00000040731	CDH10	0
CEACAM7	ENSG00000280501	CEACAM7	0
CT45A3	ENSG00000269096	CT45A3	0
PF4	ENSG00000163737	PF4	0
FGF21	ENSG00000105550	FGF21	0
SORCS3	ENSG00000156395	SORCS3	0
LOC100132831	unmapped-none	LOC100132831	0
IGFN1	ENSG00000163395	IGFN1	0
POTEH	ENSG00000198062	POTEH	0
LY6G6D	ENSG00000244355	LY6G6D	0
ANGPTL5	ENSG00000187151	ANGPTL5	0
LOC572558	unmapped-none	LOC572558	0
MIMT1	ENSG00000268654	MIMT1	0
OR56A3	ENSG00000184478	OR56A3	0
LOC643955	unmapped-none	LOC643955	0
CHRNA9	ENSG00000174343	CHRNA9	0
MTNR1A	ENSG00000168412	MTNR1A	0
FABP6	ENSG00000170231	FABP6	0
PPY2	unmapped-none	PPY2	0
ADAMTS20	ENSG00000173157	ADAMTS20	0
NPPB	ENSG00000120937	NPPB	0
FSHR	ENSG00000170820	FSHR	0
TRDN	ENSG00000186439	TRDN	0
MAGEA3	ENSG00000221867	MAGEA3	0
CNGB3	ENSG00000170289	CNGB3	0
TDRD12	ENSG00000173809	TDRD12	0
QRFPR	ENSG00000186867	QRFPR	0
HTR3C	ENSG00000178084	HTR3C	0
GLRA2	ENSG00000101958	GLRA2	0
LOC150568	unmapped-none	LOC150568	0
MYOD1	ENSG00000129152	MYOD1	1
SLCO1B3	ENSG00000111700	SLCO1B3	0
KIR2DL3	ENSG00000284510	KIR2DL3	0
UGT2A1	ENSG00000173610	UGT2A1	0
AMHR2	ENSG00000135409	AMHR2	0
CCDC155	ENSG00000161609	CCDC155	0
FFAR1	ENSG00000126266	FFAR1	0
PAGE2	ENSG00000234068	PAGE2	0
ASB5	ENSG00000164122	ASB5	0
AGXT2L1	unmapped-none	AGXT2L1	0
CDH19	ENSG00000071991	CDH19	0
SCGB3A2	ENSG00000164265	SCGB3A2	0
HEPACAM	ENSG00000165478	HEPACAM	0
PMP2	ENSG00000147588	PMP2	0
FAM71A	ENSG00000162771	FAM71A	0
METTL21C	ENSG00000139780	METTL21C	0
SNORA74A	ENSG00000200959	SNORA74A	0
NOL4	ENSG00000101746	NOL4	0
FABP2	ENSG00000145384	FABP2	0
MAGEB2	ENSG00000099399	MAGEB2	0
TSNAX-DISC1	ENSG00000270106	TSNAX-DISC1	0
LRFN2	ENSG00000156564	LRFN2	0
SPHKAP	ENSG00000153820	SPHKAP	0
NPFFR2	ENSG00000056291	NPFFR2	0
DCX	ENSG00000077279	DCX	0
MEPE	ENSG00000152595	MEPE	0
PLD5	ENSG00000180287	PLD5	0
SLC30A8	ENSG00000164756	SLC30A8	0
CPB1	ENSG00000153002	CPB1	0
FGF8	ENSG00000107831	FGF8	0
PAX2	ENSG00000075891	PAX2	1
PAPOLB	ENSG00000218823	PAPOLB	0
RGS7	ENSG00000182901	RGS7	0
HTR1E	ENSG00000168830	HTR1E	0
LGSN	ENSG00000146166	LGSN	0
CXADRP3	ENSG00000265766	CXADRP3	0
OR51B5	ENSG00000242180	OR51B5	0
F2	ENSG00000180210	F2	0
KRTAP1-5	ENSG00000261862	KRTAP1-5	0
FAM58BP	ENSG00000233827	FAM58BP	0
CSF3	ENSG00000108342	CSF3	0
TOX3	ENSG00000103460	TOX3	1
TMEM132D	ENSG00000151952	TMEM132D	0
TRIM72	ENSG00000177238	TRIM72	0
CFHR4	ENSG00000134365	CFHR4	0
C12orf42	ENSG00000179088	C12orf42	0
DKFZP434L187	unmapped-none	DKFZP434L187	0
LINC00473	ENSG00000223414	LINC00473	0
SYT16	ENSG00000139973	SYT16	0
CLCA3P	ENSG00000153923	CLCA3P	0
ATP1A4	ENSG00000132681	ATP1A4	0
CTAG2	ENSG00000126890	CTAG2	0
NPHS1	ENSG00000161270	NPHS1	0
LOC283332	unmapped-none	LOC283332	0
KBTBD5	unmapped-none	KBTBD5	0
HCRTR1	ENSG00000121764	HCRTR1	0
ZP1	ENSG00000149506	ZP1	0
C4BPB	ENSG00000123843	C4BPB	0
TCERG1L	ENSG00000176769	TCERG1L	0
SYCP1	ENSG00000198765	SYCP1	0
LOC731789	unmapped-none	LOC731789	0
MRGPRE	ENSG00000184350	MRGPRE	0
MKRN3	ENSG00000179455	MKRN3	0
TMPRSS11A	ENSG00000187054	TMPRSS11A	0
LOC284798	ENSG00000230725	LOC284798	0
CRISP3	ENSG00000096006	CRISP3	0
PEG3-AS1	unmapped-none	PEG3-AS1	0
OR52L1	ENSG00000183313	OR52L1	0
CSMD3	ENSG00000164796	CSMD3	0
WFDC10B	ENSG00000182931	WFDC10B	0
ARSF	ENSG00000062096	ARSF	0
HRH3	ENSG00000101180	HRH3	0
AKNAD1	ENSG00000162641	AKNAD1	0
GRM3	ENSG00000198822	GRM3	0
CLRN3	ENSG00000180745	CLRN3	0
KCNH5	ENSG00000140015	KCNH5	0
GSTA2	ENSG00000244067	GSTA2	0
HYAL4	ENSG00000106302	HYAL4	0
AGXT	ENSG00000172482	AGXT	0
CASR	ENSG00000036828	CASR	0
RAG2	ENSG00000175097	RAG2	0
NDST4	ENSG00000138653	NDST4	0
ABCC12	ENSG00000140798	ABCC12	0
CRYBA4	ENSG00000196431	CRYBA4	0
HFE2	ENSG00000168509	HFE2	0
SPEM1	ENSG00000284598	SPEM1	0
SLC4A10	ENSG00000144290	SLC4A10	0
MAGEB1	ENSG00000214107	MAGEB1	0
ZAR1L	ENSG00000189167	ZAR1L	0
CLEC4M	ENSG00000104938	CLEC4M	0
CGB8	ENSG00000213030	CGB8	0
GPR128	unmapped-none	GPR128	0
MSX2P1	unmapped-none	MSX2P1	0
FFAR3	ENSG00000185897	FFAR3	0
CLEC4GP1	ENSG00000268297	CLEC4GP1	0
LHCGR	ENSG00000138039	LHCGR	0
GSG1	ENSG00000111305	GSG1	0
LRRTM4	ENSG00000176204	LRRTM4	0
CLCA4	ENSG00000016602	CLCA4	0
OR8A1	ENSG00000196119	OR8A1	0
OR2C3	ENSG00000196242	OR2C3	0
LOC441177	unmapped-none	LOC441177	0
ADAMTS19	ENSG00000145808	ADAMTS19	0
DNAJC5G	ENSG00000163793	DNAJC5G	0
GDNF	ENSG00000168621	GDNF	0
OR11H4	ENSG00000176198	OR11H4	0
FRMPD4	ENSG00000169933	FRMPD4	0
MUSK	ENSG00000030304	MUSK	0
CPB2	ENSG00000080618	CPB2	0
COX7B2	ENSG00000170516	COX7B2	0
C21orf90	unmapped-none	C21orf90	0
PAGE4	ENSG00000101951	PAGE4	0
GABRG1	ENSG00000163285	GABRG1	0
MAGEB18	ENSG00000176774	MAGEB18	0
PLA2G1B	ENSG00000170890	PLA2G1B	0
LGALS9B	ENSG00000170298	LGALS9B	0
BAGE	unmapped-none	BAGE	0
PPBP	ENSG00000163736	PPBP	0
ZAN	ENSG00000146839	ZAN	0
NRSN1	ENSG00000152954	NRSN1	0
SEPT14	ENSG00000154997	SEPT14	0
SAA4	ENSG00000148965	SAA4	0
LOC151658	unmapped-none	LOC151658	0
SMYD1	ENSG00000115593	SMYD1	0
GRIK1	ENSG00000171189	GRIK1	0
CERS3	ENSG00000154227	CERS3	0
GATA4	ENSG00000136574	GATA4	1
DMRTC1B	unmapped-many	DMRTC1B	0
ITIH6	ENSG00000102313	ITIH6	0
LOC644669	unmapped-none	LOC644669	0
PIRT	ENSG00000233670	PIRT	0
CACNA1S	ENSG00000081248	CACNA1S	0
RLBP1	ENSG00000140522	RLBP1	0
NAA11	ENSG00000156269	NAA11	0
COL2A1	ENSG00000139219	COL2A1	0
R3HDML	ENSG00000101074	R3HDML	0
CD200R1L	ENSG00000206531	CD200R1L	0
IL20	ENSG00000162891	IL20	0
MMP21	ENSG00000154485	MMP21	0
FABP7	ENSG00000164434	FABP7	0
MCHR2	ENSG00000152034	MCHR2	0
STON1-GTF2A1L	ENSG00000068781	STON1-GTF2A1L	0
SSX5	ENSG00000165583	SSX5	0
CXorf48	unmapped-none	CXorf48	0
CXADRP2	unmapped-none	CXADRP2	0
ELAVL3	ENSG00000196361	ELAVL3	0
RHBG	ENSG00000132677	RHBG	0
GABRA1	ENSG00000022355	GABRA1	0
DUSP13	ENSG00000079393	DUSP13	0
HIST1H4L	unmapped-many	HIST1H4L	0
C14orf162	unmapped-none	C14orf162	0
SLC30A10	ENSG00000196660	SLC30A10	0
SVOP	ENSG00000166111	SVOP	0
OR56B4	ENSG00000180919	OR56B4	0
KCTD8	ENSG00000183783	KCTD8	0
EDDM3A	ENSG00000181562	EDDM3A	0
CIB3	ENSG00000141977	CIB3	0
LGALS7B	unmapped-many	LGALS7B	0
RPE65	ENSG00000116745	RPE65	0
POPDC3	ENSG00000132429	POPDC3	0
SLC14A2	ENSG00000132874	SLC14A2	0
IL1RAPL2	ENSG00000189108	IL1RAPL2	0
UBL4B	ENSG00000186150	UBL4B	0
VIT	ENSG00000205221	VIT	0
RPL3L	ENSG00000140986	RPL3L	0
PHF21B	ENSG00000056487	PHF21B	0
ZAR1	ENSG00000182223	ZAR1	0
IAPP	ENSG00000121351	IAPP	0
LOC284100	unmapped-none	LOC284100	0
CPA1	ENSG00000091704	CPA1	0
PABPC1L2A	ENSG00000186288	PABPC1L2A	0
LOC100133308	unmapped-none	LOC100133308	0
GABRB1	ENSG00000163288	GABRB1	0
MAGEE2	ENSG00000186675	MAGEE2	0
ZNF280A	ENSG00000275499	ZNF280A	0
ZMAT4	ENSG00000165061	ZMAT4	0
DSG1	ENSG00000134760	DSG1	0
OR51B4	ENSG00000183251	OR51B4	0
SYNPR	ENSG00000163630	SYNPR	0
CNTN5	ENSG00000149972	CNTN5	0
TSPAN8	ENSG00000127324	TSPAN8	0
ABCB5	ENSG00000004846	ABCB5	0
TDGF1P3	ENSG00000225366	TDGF1P3	0
MYOZ2	ENSG00000172399	MYOZ2	0
IL13RA2	ENSG00000123496	IL13RA2	0
SPP2	ENSG00000072080	SPP2	0
ARL5C	ENSG00000141748	ARL5C	0
EPHA5	ENSG00000145242	EPHA5	0
HPR	ENSG00000261701	HPR	0
UGT2B4	ENSG00000156096	UGT2B4	0
