TP_2078_Tumor	SC_9137_Tumor	TP_2081_T	SC_9175_T	MO_1510_T	SC_9183_T	MO_1084.Tumor	SC_9043.Tumor	MO_1179.Tumor	MO_1184.Tumor	MO_1176.Tumor	MO_1192.Tumor	SC_9050.Tumor	SC_9057.Tumor	MO_1241.Tumor	SC_9080.TM	SC_9083.TM	MO_1336.TM	TP_2060.TM	MO_1410.Tumor	SC_9129_Tumor	PROS01448.1115161.Tumor.SM.5SGU1	PRAD.01115468.Tumor.SM.6B2KE	PRAD.01115549.Tumor.SM.A4KNH	PRAD.01115550.Tumor.SM.A4KNI	PROS12319B.SU2C.06115116.Tumor.SM.4W2NB	PRAD.06115124.Tumor.SM.7LGU1	PROS01448.6115234.Tumor.SM.67ERX	PROS01448.6115235.Tumor.SM.67ERY	PROS01448.6115247.Tumor.SM.67ES2	PROS01448.6115251.Tumor.SM.67ES6	PRAD.6115590.0.Tumor.SM.B2XRS	PRAD.6115594.0.Tumor.SM.B2XRW	PM14.TM	PM158.TM
SNAPC4	3.34208338569974	2.05433338720525	2.67856037137564	2.26102450341348	3.25939592382891	2.68715877761443	4.66800105329534	3.19341639465136	2.7779372258937	2.55315234874913	5.72771257838647	2.65110195272768	4.26515828975362	3.02681696553087	2.77706848542386	3.15021033487622	3.55493685154224	2.62287672682731	2.87309501295305	2.90912072896744	2.28870141663406	2.88274823655587	2.05198396837774	2.00056716534767	1.47053530105299	2.72681812929849	1.1084524497914	2.55315234874913	3.87249114703791	2.88187029869359	2.46726927145472	1.49426141274152	3.14751474687352	2.88011464590549	2.88011464590549
SPI1	1.99824244399725	3.21597589790441	3.30931501079251	1.83454835404058	1.32572488067047	3.34117216512381	2.86608016010397	3.35575840342929	5.54900326774599	3.44632219801855	1.5916966875878	1.9688906292504	1.78032061747779	2.92585740103183	1.24810454834444	2.45555704488206	3.73776641826857	3.41332879934064	5.4666649953356	3.73403661756977	3.96465745661061	2.00366848527329	1.60645797385904	2.62800162594388	3.84810237353369	4.59283567504917	3.68282350755058	2.41970081007068	2.66482035730155	1.77294739439793	2.16592886173705	1.77810724126574	1.23633313949069	2.82845806824339	6.84037548447221
BATF2	0.868137099715069	0.577775768373695	0.628287102337206	0.495851016044723	1.22277689862683	0.974066828871092	0.617482522557499	0.478669801638246	1.10495995737109	0.905604580674345	0.0648772302032093	0.754723326154897	0.42171588536463	0.609248644368203	1.47594205358971	1.16815008565372	0.58614947001441	0.689315987025647	3.2232029680992	3.84435268041177	1.24190171768642	0.618723399245815	0.417137199985892	0.581355524545027	0.942929964662405	3.57064209704306	1.38601843798347	0.525682155911384	0.830604570076649	0.706230476438545	0.862571334693931	1.5305404095435	0.477608140207126	0.447776731202073	0.94452626771794
ZNF597	1.58679046712057	1.9343612811748	0.671777912367147	1.51200611404273	2.03869065560735	1.45034677359387	1.52160291391996	1.25993484381453	0.855517955995674	1.10147353721541	1.22462080296631	1.43696424373669	1.13897444689872	1.14726941632643	1.04708419972517	1.43229487945261	1.3302154102926	0.886498888417186	0.925999418556223	1.37750832002965	0.899899758155597	1.84802735120495	1.21909352451209	2.03790976097389	1.19894088876799	0.971900854030373	1.25121208244463	1.4209864487617	0.98985244264805	1.96119581740709	1.37946984210036	0.988212744686729	1.30021497637415	0.692413244769109	1.04821343903738
ZEB2	1.43629672995471	1.54918308188137	1.98354454327585	1.39784532462757	1.30211932221755	2.29359812771525	0.975150848772157	2.3411243451724	3.34117216512381	3.10088248864405	1.72389581303459	1.80771773200122	1.32957342791642	1.69490447760742	0.854010936324189	2.10470454719813	2.20845440375675	2.24642137808697	2.49579008161311	2.24237106868369	2.46810656887685	1.69562655956264	1.30466069896642	1.43029603364104	4.1168488921592	3.20333787321431	3.65866096878423	1.98895445851698	2.67340534462195	2.61604837236002	2.33372703859601	1.29451062203133	1.52985201679655	3.05086010401691	3.38131848002629
EP300	4.15575048061953	2.28707001237438	3.14751474687352	2.77098951808191	4.36158532251469	4.06286173449744	3.5438593161451	3.5272563561881	3.71446667725359	4.44871922507808	4.47173793781905	4.89045467230591	3.91100510764986	4.973919140859	4.09315644425645	4.41326303871803	3.22952982420743	2.86871016848434	3.33388442244279	3.22862580696814	4.04583680738253	4.53800246836728	3.4417356801183	3.87906199026569	3.53832321081574	2.98774224004043	2.82496549995131	4.05151050378729	3.63360193351492	3.78818633814296	3.59561449144809	3.37401119506674	3.6986386308122	5.6265247066619	4.79843128171777
IRF8	1.01020239518487	0.929160423585864	2.09127839019596	1.46379054274146	1.86757128386386	2.96825529731639	1.43963583669317	1.38274218174184	2.57774303561148	1.66900251414064	1.32124216736837	1.40641838688702	0.921269575880108	1.43362821372707	0.351980691301607	1.43029603364104	0.937090143965368	1.25183407832808	3.41149785657901	2.60496415665909	4.33864443889648	1.41435529991614	1.16335935246807	1.42364324100031	2.40972627051051	4.89627297655059	3.35667051710652	2.32059662383859	1.42630250569302	1.96196474503954	2.10233281039553	1.26743686418378	0.924421248846526	3.81531476486164	4.46694108344573
ELK3	3.03838713972679	3.20514257416963	3.6271106722796	3.08299359371459	1.94737622825953	3.7424296501	2.07945948808876	4.04110970892673	4.76264291462764	3.93263930230779	2.01143022409686	3.69770797042711	2.77012141122519	3.23857329806629	2.51598721595026	3.1565022486602	3.45549916786844	3.29931717290308	3.49133895069432	3.40234636786638	3.70143088016011	3.22229937269702	2.47648472812899	2.25209628440284	5.1705108572102	5.07114967593563	5.18903908580964	3.47203084809501	4.5130185002219	3.23314649410379	3.28751053148603	3.75175937122719	3.27389966844401	3.6122821324132	3.05264303203164
RFX1	2.85819418929543	2.64853217156483	2.67426430600775	2.46057429598224	2.70093354215995	2.70955352682355	3.17989910437961	3.06959417954192	3.11073249611457	2.06688147319639	3.61784142329122	3.24400225452386	3.48398081438648	3.13135320611362	2.69576551647662	2.89680531532203	3.09372379059496	2.22054566501507	2.59815043406626	2.70524250380772	2.76751756711963	2.3931332811266	1.62694715743574	2.01764827093599	1.5505683107544	1.30466069896642	2.53792716316934	2.26671276089469	2.45472116884813	2.33619189417537	2.08891252620083	2.09759243843434	2.23994216383519	2.91088124582139	2.66739496907817
ZC3H4	3.42431895028808	2.78923802810329	2.73113938176536	2.50167540867573	3.74895999993785	3.32295957511218	3.85935534529209	3.4454047893078	3.02059163292737	3.49133895069432	3.91664683384439	3.63823994777272	3.58358636535319	3.94299329799233	3.49501924457395	3.58081179678432	3.26302044871954	2.93732387697508	3.48214179241732	3.46192615455146	3.65401786742243	2.92850242838875	2.23994216383519	3.15021033487622	2.43135541783175	2.70179516933172	2.89153169307755	3.26755242963088	3.34937516571255	2.90296122461086	2.74324967437648	2.66138872356137	3.24762275108555	3.92040876189209	3.17089532049103
