key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
ZMYM3||ELK3	ELK3	ZMYM3	-0.639635461975204	3.52039816855576e-05	-0.694164047100274	0.00068514410096715	-0.464335275348694	0.0812141921407362	-0.572729184120383	0.000323763582481937	-0.643851117363733	0.00218818725002279	-0.203571428571429	0.465749711122254	0	0	0	-0.550421760018917	-0.457548256109776	0
PPME1||ELK3	ELK3	PPME1	-0.50778642698514	0.0018463508970855	-0.667438595971312	0.00130365944169137	-0.399644280967829	0.139980266848709	-0.47563025210084	0.00426553007551949	-0.714285714285714	0.000584241858774469	-0.303571428571428	0.270772062682236	0	0	0	-0.522691639935534	-0.576915036157537	0
MAP3K9||ELK3	ELK3	MAP3K9	-0.677188683209909	7.91230480450353e-06	-0.759175060967924	0.000103803126883065	-0.313274834250776	0.255553224284247	-0.676750700280112	1.38170586466943e-05	-0.854135338345865	0	-0.178571428571429	0.523513367920213	0	0	0	-0.478974292806456	0	0
BCL7A||ELK3	ELK3	BCL7A	-0.574765944130592	0.00030474302133311	-0.624656549558554	0.00323584850269734	-0.539234123384138	0.0380436533404711	-0.598879551820728	0.000193041534913924	-0.658646616541353	0.00206409170958562	-0.421428571428571	0.119249613596569	0	0	0	-0.38255606881669	0	0
OTUD3||ELK3	ELK3	OTUD3	-0.647340508461888	2.63462870297702e-05	-0.676696292507942	0.00105082660419292	-0.744034732101432	0.00146969660305734	-0.621935851458052	6.65455220332756e-05	-0.700751879699248	0.000816820179528861	-0.745308608600954	0.00142760720186137	0	0	0	-0.338811962600244	0	-0.557090711979767
NAPB||INSM1	INSM1	NAPB	0.281815062285714	0.100978970525178	0.375656604674667	0.102628781581248	0.145765913138566	0.604210738908491	0.146088662029239	0.402373225723855	0.37593984962406	0.1031200467746	-0.171428571428571	0.540611255267815	0	0	0	0	0	0
BRSK1||INSM1	INSM1	BRSK1	0.352926263841454	0.037565986367439	0.315296951453231	0.175704665777495	0.564257738049723	0.0284421108775649	0.208683473389356	0.228046489105237	0.100751879699248	0.671918492244665	0.475	0.0758700814278675	0	0	0	0	0	0
CHGA||INSM1	INSM1	CHGA	0.517884137537949	0.00144028060153281	0.603639083307681	0.00483016687196789	0.25108072760787	0.366711099270577	0.280112044817927	0.103229534859534	0.514285714285714	0.0218359617006576	-0.075	0.792571061577752	0	0	0	0	0	0
CLDN9||INSM1	INSM1	CLDN9	0.286583457580378	0.0950989098139407	0.504025243636791	0.0234528238587077	-0.141673880996019	0.614506294521803	0.0980392156862745	0.57394903120469	0.174436090225564	0.460326820105648	0.0392857142857143	0.892928362903675	0	0	0	0	0	0
EYA3||INSM1	INSM1	EYA3	0.387105311739461	0.0215981348407319	0.557076279912818	0.0107241380020994	0.00171583178088669	0.995157825199309	0.422408963585434	0.0120723264506061	0.577443609022556	0.00877039981762219	0.289285714285714	0.294889364761483	0	0	0	0	0	0
