gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
MAP3K9	0	1.54	1.73	1.28	0.448	0.0246	2.35	0.0302	215	1	1	1
ZMYM3	0	3.5	3.69	3.25	0.444	0.0531	2.01	0.0643	206	2	2	1
SEZ6	0	0.566	0.76	0.306	0.455	0.0568	2.01	0.33	180	1	1	1
ELK3	1	3.42	3.22	3.69	-0.461	0.0814	-1.8	0.0463	90	1	1	1
ASCL1	1	0.599	0.828	0.293	0.535	0.0932	1.75	0.149	194	1	1	1
SYT4	0	0.558	0.754	0.296	0.458	0.0945	1.73	0.443	174	2	1	1
IFT81	0	2.09	2.19	1.96	0.235	0.2	1.31	0.419	175	1	1	1
MARCH11	0	0.457	0.596	0.272	0.324	0.209	1.29	0.701	138	2	2	1
PEG10	0	1.21	1.39	0.977	0.411	0.22	1.25	0.542	169	1	1	1
CHGA	0	1.03	1.35	0.613	0.738	0.26	1.15	1	150	1	1	1
ILF3	0	5.43	5.36	5.52	-0.162	0.368	-0.913	0.158	107	1	1	1
PPME1	0	4.83	4.74	4.94	-0.195	0.379	-0.892	0.438	126	1	1	1
INSM1	1	1.09	1.23	0.91	0.32	0.415	0.826	0.657	164	1	1	1
TRAF3IP1	0	2.67	2.73	2.59	0.14	0.44	0.784	0.419	175	1	1	1
EYA3	0	2.82	2.88	2.74	0.145	0.505	0.675	0.4	176	1	1	1
SYT13	0	1.31	1.18	1.48	-0.302	0.513	-0.661	0.254	115	1	1	1
BCL7A	0	2.28	2.34	2.21	0.128	0.516	0.659	0.438	174	1	1	1
BTBD9	0	2.07	2.02	2.13	-0.101	0.544	-0.614	0.617	134	2	1	1
CACNA1B	0	0.521	0.579	0.444	0.135	0.606	0.522	0.815	158	2	1	1
MYT1	0	0.951	1.02	0.859	0.161	0.655	0.451	0.705	162	1	1	1
COPG2	0	3.11	3.15	3.06	0.0877	0.672	0.427	0.419	175	1	1	1
OTUD3	0	1.92	1.9	1.95	-0.0536	0.751	-0.32	0.665	136	2	1	2
MGAT5B	0	0.674	0.643	0.715	-0.0715	0.752	-0.319	0.908	154	1	1	1
ZBTB12	1	2.52	2.56	2.47	0.0915	0.775	0.288	0.564	168	1	1	1
RPL30	0	10.8	10.8	10.8	-0.0243	0.937	-0.0803	0.571	132	3	2	2
TSPYL4	0	3.78	3.79	3.77	0.0159	0.948	0.0652	0.882	155	1	1	1
