Drivers	Targets	NR	R	XOR
1	ASCL1	CHGA	1	0	1
2	ASCL1	EYA3	1	0	1
3	ASCL1	PPME1	1	0	1
4	ASCL1	REEP2	1	0	1
5	ASCL1	SEZ6	1	0	1
6	ASCL1	ZNF704	1	0	1
7	ELK3	BTBD9	1	0	1
8	ELK3	KHDRBS1	1	0	1
9	ELK3	PPME1	1	0	1
10	ELK3	PTPN11	1	0	1
11	ELK3	USP37	1	0	1
12	ELK3	ZNF704	1	0	1
13	EP300	CRKL	1	0	1
14	EP300	DCAF7	1	0	1
15	EP300	SF3A1	1	0	1
16	INSM1	CACNA1B	1	0	1
17	INSM1	FNBP1L	1	1	0
18	INSM1	KLHL11	1	0	1
19	INSM1	MARCH11	1	1	0
20	INSM1	MGAT5B	1	0	1
21	INSM1	MYT1	1	0	1
22	INSM1	TSPYL4	1	0	1
23	NF1	ANP32A	1	0	1
24	NF1	AP2B1	1	0	1
25	NF1	CBX5	1	0	1
26	NF1	CCNK	1	0	1
27	NF1	DCAF16	1	0	1
28	NF1	MED1	1	0	1
29	NF1	RCOR1	1	0	1
30	NF1	SOCS7	1	0	1
31	NF1	TAF15	1	0	1
32	NF1	TBC1D5	1	1	0
33	NF1	TMED8	1	0	1
34	NF1	TRIM37	1	0	1
35	NF1	TUBB3	1	0	1
36	NF1	UBFD1	1	0	1
37	NFIC	REEP2	1	0	1
38	SMARCC1	CCT7	1	0	1
39	SMARCC1	FNBP1L	1	0	1
40	SMARCC1	GANAB	1	0	1
41	SMARCC1	KHDRBS1	1	0	1
42	SMARCC1	KITLG	1	0	1
43	SMARCC1	LDOC1L	1	0	1
44	SMARCC1	MLEC	1	0	1
45	SMARCC1	SF3B3	1	0	1
46	SMARCC1	SPTLC2	1	0	1
47	SMARCC1	TUBB3	1	0	1
48	SMARCC1	UBXN2B	1	0	1
49	SMARCC1	ZNF704	1	0	1
50	SNAPC4	AVL9	1	0	1
51	SNAPC4	CCT7	1	0	1
52	SNAPC4	KITLG	1	0	1
53	SNAPC4	QSOX2	1	0	1
54	SNAPC4	SF3A1	1	0	1
55	SNAPC4	USP37	1	0	1
56	VEZF1	AVL9	1	0	1
57	VEZF1	BECN1	1	0	1
58	VEZF1	BTBD9	1	0	1
59	VEZF1	GSK3B	1	0	1
60	VEZF1	MED1	1	0	1
61	VEZF1	NBR1	1	0	1
62	VEZF1	PAFAH1B1	1	1	0
63	VEZF1	RGP1	1	0	1
64	ZBTB12	AVL9	1	0	1
65	ZBTB12	IFT81	1	0	1
66	ZBTB12	MAP3K9	1	0	1
67	ZBTB12	SH3BP5L	1	0	1
68	ZBTB12	SOCS7	1	1	0
69	ZBTB12	TRAF3IP1	1	0	1
70	ZBTB12	XPO5	1	0	1
71	ZNF770	CCT8	1	0	1
72	ZNF770	CRKL	1	0	1
73	ZNF770	DDI2	1	0	1
74	ZNF770	DDX3X	1	0	1
75	ZNF770	HNRNPF	1	0	1
76	ZNF770	KLHL11	1	0	1
77	ZNF770	LSM14A	1	0	1
78	ZNF770	MFAP1	1	1	0
79	ZNF770	PTPN11	1	0	1
80	ZNF770	USP37	1	0	1
81	ASCL1	MAP3K9	0	1	1
82	ASCL1	SOCS7	0	1	1
83	ELK3	OTUD3	0	1	1
84	EP300	C14orf132	0	1	1
85	EP300	DDX3X	0	1	1
86	EP300	INO80D	0	1	1
87	EP300	KIAA1147	0	1	1
88	EP300	MAP3K9	0	1	1
89	EP300	MED1	0	1	1
90	EP300	PRR14L	0	1	1
91	EP300	RANGAP1	0	1	1
92	EP300	RCOR1	0	1	1
93	EP300	SH3BP5L	0	1	1
94	EP300	SOCS7	0	1	1
95	INSM1	MAP3K9	0	1	1
96	NF1	CDON	0	1	1
97	NF1	KITLG	0	1	1
98	NF1	PUM1	0	1	1
99	NF1	SH3BP5L	0	1	1
100	NF1	ZNF704	0	1	1
101	NFIC	MAP3K9	0	1	1
102	NFIC	MED1	0	1	1
103	NFIC	RCOR1	0	1	1
104	SMARCC1	CBX5	0	1	1
105	SNAPC4	AP2B1	0	1	1
106	SNAPC4	MFAP1	0	1	1
107	VEZF1	C14orf132	0	1	1
108	VEZF1	CBX5	0	1	1
109	VEZF1	CSDE1	0	1	1
110	VEZF1	KLHL11	0	1	1
111	VEZF1	KPNA6	0	1	1
112	VEZF1	RANGAP1	0	1	1
113	ZNF770	KHDRBS1	0	1	1
114	ZNF770	MED1	0	1	1
115	ZNF770	SOCS7	0	1	1
116	ZNF770	UBXN2B	0	1	1
