module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
VBSR 1	9	0.0099	0.000999	43	1	SMARCC1	SRRM3, PEG10, SYT4, BEX2, SCG3, CHN2, IFFO2, BRD3, CCNK, PTTG1IP, TMEM164, ZMYM3, CS, DDX24, SYTL4, FNBP1L, RBM15B, COPG2, PRPF19, GANAB, MLEC, PSME3, DGCR2, WDR31, PWP2, C21orf33, XPO5, FARP1, TMEM184B, NCL, SPTLC2, SF3B3, KDM1A, ENO1, EIF2D, AHCTF1, NEK4, NUP155, AFG3L2, TRAF3IP1, CCT6A, IFT81, AHSA1	35	44	20	15
VBSR 1	100	0.0198	0.004	25	2	VEZF1, SMARCC1	CSDE1, DCAF7, CBX5, USP22, BECN1, SF3A1, KPNA6, FNBP1L, GSK3B, RGP1, GANAB, STK35, SMCR8, PWP2, ACLY, RNF168, MED1, USP37, AVL9, TMED8, KRBA2, PRR14L, CAPRIN1, TANC2, TRIM37	35	27	20	15
VBSR 1	158	0.0099	0.004	27	2	VEZF1, SMARCC1	CSDE1, CCNK, DCAF7, CBX5, USP22, BECN1, POLDIP3, KPNA6, FNBP1L, GSK3B, GANAB, SMCR8, PWP2, ACLY, KITLG, HSP90AA1, MED1, PUM1, USP37, AVL9, TMED8, KRBA2, PRR14L, CAPRIN1, KLHL11, TRIM37, MSI2	35	29	20	15
VBSR 1	75	0.0099	0.00599	22	1	ELK3	IFITM2, SLC43A3, CD40, ADPRH, GIMAP4, SELE, GIMAP8, LYVE1, IL10RB, ITM2A, ITM2B, ATF7IP2, RB1, STARD8, PECAM1, MATK, PDK4, RASGRP3, SGK1, THBS1, UNC5A, DCLK1	35	23	20	15
VBSR 1	12	0.0198	0.00799	42	2	SPI1, ELK3	IFITM2, CD4, ISG20, FXYD5, LILRB4, APOBEC3C, SLC15A3, PYCARD, CYBA, IFI30, SIRPA, SAMHD1, RENBP, LAPTM5, CSF1R, GIMAP4, KCTD12, ABI3, RAB31, SH3BGRL, LPAR6, PLEKHO2, CTSZ, LGALS1, SH3KBP1, GIMAP8, OSTF1, AKR1C3, GADD45B, ITM2A, LGALS3, STAB1, LMO2, ARHGDIB, STARD8, SCARF1, PECAM1, RASGRP3, CPXM1, TGFBI, SULF2, ITGA5	35	44	20	15
VBSR 1	41	0.0297	0.00799	25	3	SNAPC4, VEZF1, SMARCC1	FUT8, CSDE1, CCNK, DCAF7, CBX5, NBR1, BECN1, GSK3B, MRFAP1, YWHAG, RGP1, PSME3, DDI2, AP2B1, PWP2, SPTLC2, PTPN11, KITLG, PAFAH1B1, USP37, AVL9, TMED8, TSR1, CAPRIN1, CCT7	35	28	20	15
VBSR 1	206	0.0099	0.00799	29	2	VEZF1, SMARCC1	CSDE1, CCNK, DCAF7, CBX5, USP22, BECN1, KPNA6, GSK3B, RGP1, GANAB, MLEC, STK35, DDI2, SMCR8, FARP1, ACLY, SF3B3, SMC1A, KITLG, MED1, USP37, AVL9, TMED8, KRBA2, PRR14L, CAPRIN1, TANC2, KLHL11, TRIM37	35	31	20	15
VBSR 1	65	0.0198	0.011	28	3	SPI1, ELK3, GLI1	TWF2, IFITM2, TRIM22, CD4, CNN2, EMP3, APOBEC3C, RENBP, CSF1R, PDLIM2, KCTD12, CMTM3, SPHK1, CCL14, LPAR6, GPR68, PLEKHO2, SEMA7A, FCGRT, ACP5, GADD45B, STAB1, LMO2, CNRIP1, GNAI2, SPNS2, TGFBI, SULF2	35	31	20	15
VBSR 1	66	0.0297	0.011	46	2	SPI1, RFX1	C1QA, C1QC, C1QB, FCGR3A, DOK1, TREM2, ANPEP, CD68, CD300C, LILRB4, TYROBP, LAIR1, HMOX1, CASP4, SLC7A7, S100A4, NAGK, LY86, MSR1, GLIPR2, RNASE6, IL21R, MILR1, BAX, GMFG, VSIG4, MS4A4A, MS4A7, FOLR2, MS4A6A, CD163, SEMA7A, TRPV2, ADAP2, FPR3, UPP1, CD33, LILRB5, TLR7, MPEG1, CLEC4A, EVI2A, SIGLEC7, SLC37A2, LAP3, CTSB	35	48	20	15
VBSR 1	37	0.0198	0.012	68	1	ELK3	C10orf11, CACNA2D2, LRFN5, FAM161B, NNAT, LRTM2, CLDN9, FAM57B, MGAT5B, APLP1, STXBP5L, MARCH11, EPHA7, CACNA1B, INA, CDON, SEZ6, SYT4, TMEM145, PCBP3, SULT4A1, RIMBP2, CHGA, AP3B2, TBC1D24, KCNH6, MAST1, BRSK1, NAPB, SYP, RTN4RL2, RPS6KL1, SYNGR4, PLCH2, CDK5R2, PSD, MYT1, GNG4, QSOX2, CNIH2, CACNB3, TMEM63C, DISP2, TUBB3, IL17RB, CDH24, SPTBN4, EYA3, SH3BP5L, PI15, BRD3, BCL7A, ZMYM3, EPN2, BTBD9, CEP89, INO80D, CBFA2T2, OTUD3, XPO5, NPLOC4, MAP3K9, LMLN, KIAA1324L, KRBA2, PHLPP1, TTI1, MYEF2	35	69	20	15
VBSR 1	191	0.0099	0.012	61	1	NF1	RAVER2, FNDC5, RIMS4, CDON, SYT1, NRXN3, TBC1D24, FGF12, CLSTN2, DCAF16, KIAA1147, SLC7A1, CCNK, TRIM25, SLC23A2, H1F0, RBFOX2, CYB5D1, SOCS7, LDOC1L, TGFBRAP1, TBC1D5, MRFAP1, SLC39A7, BCL2L2, DYNLL2, UBFD1, PSME3, ORMDL3, RLIM, INO80D, WDR31, TEX2, CSNK2A1, AP2B1, PWP2, PHF13, PLCXD3, KBTBD11, DUSP16, TOB2, SPTLC2, HTATSF1, KITLG, RCOR1, MED1, PUM1, RBBP5, PKP4, WDR35, NEK4, AVL9, KIAA1324L, TMED8, TANC2, TRIM37, TRAF3IP1, ZNF704, RASL10B, AHSA1, MSI2	35	62	20	15
VBSR 1	3	0.0396	0.013	28	3	SPI1, EP300, ELK3	TWF2, CD68, TCN2, HMOX1, FTL, VAMP5, FAM212A, LY96, CMKLR1, RNASE1, IFI27L2, NTAN1, C17orf49, SPHK1, CCL14, ICAM2, BAX, ARMCX1, TSPAN4, MS4A4A, FOLR2, ACP5, UPP1, ISCU, CNRIP1, TSPAN7, FEZ1, DBNDD2	35	31	20	15
VBSR 1	93	0.0099	0.013	26	2	BATF2, ELK3	C1QA, C1QC, C1QB, GALM, TREM2, GSTP1, VMO1, EPB41L3, SIGLEC8, CD40, CRIP1, TAX1BP3, APOE, PLTP, HLA-DQB1, PLAU, DRAM1, CTSC, LAP3, CXCL9, RARRES3, VWA5A, ICAM1, APOL1, APOL3, EBI3	35	28	20	15
