key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
FABP4||MNT	MNT	FABP4	-0.476166747126106	3.38492377648104e-08	-0.316355427196757	0.17418009208316	-0.584610447728673	0.0220871239120207	-0.427936830523327	9.77706873338081e-07	-0.400902623311764	0.0798094927384542	-0.604111054453531	0.0170744396644433	0	0	0	-1.292220642008	0	0
SLC25A20||ZC3H4	ZC3H4	SLC25A20	-0.381063584168375	1.6175416526477e-05	-0.539193738163361	0.0141532360789708	-0.460293709608965	0.0842533542179727	-0.457126889369384	1.35890114519824e-07	-0.577443609022556	0.00877039981762219	-0.585714285714286	0.0242547497595672	0	0	0	-1.07068002913815	0	0
WIPI1||ADNP	ADNP	WIPI1	-0.376947490339365	2.02897152341943e-05	-0.315860657417234	0.17489160544964	-0.249602772525061	0.369632798240706	-0.342038233821686	0.000123111402956313	-0.333834586466165	0.150382557477725	-0.1	0.724060433819824	0	0	0	-0.84631202146449	0	0
IFI27||RFX1	RFX1	IFI27	-0.350443608344922	8.1283446664764e-05	-0.154802548030978	0.514615466583243	-0.0311579309907386	0.912226368788526	-0.383716499428977	1.39545287022489e-05	-0.0315789473684211	0.896294085798863	0.0321428571428571	0.913240263248664	0	0	0	-0.826960196890036	0	0
WIPI1||ZC3H4	ZC3H4	WIPI1	-0.100716956780794	0.271687675606675	-0.491055770154151	0.0279046710984649	0.169036413713338	0.547014850912114	-0.155785013396017	0.0879556900455084	-0.473684210526316	0.0364321641732088	0.135714285714286	0.629715517337068	0	0	0	-0.816032247700133	0	0
ANPEP||MNT	MNT	ANPEP	-0.346353376427052	9.96263819326992e-05	-0.567533599730344	0.00905412102550623	-0.0581914290925502	0.836794444658385	-0.392943997732886	8.26508563334454e-06	-0.478195488721805	0.0345057697853774	-0.126899067651481	0.652227574993258	0	0	0	-0.804944852122404	0	0
KCTD12||EP300	EP300	KCTD12	-0.374370965028025	2.33459260020538e-05	-0.546057105157538	0.0127457684903353	-0.146837349459697	0.601526304679633	-0.296721813985343	0.000950387808839024	-0.557894736842105	0.0118283176047054	-0.0607142857142857	0.832426178918744	0	0	0	-0.78728081660242	0	0
IFI27L2||EP300	EP300	IFI27L2	-0.453116424655882	1.80187195524136e-07	-0.673471145942053	0.00113373915001047	-0.427412335562769	0.112035169397385	-0.546533486429638	8.88994770531283e-11	-0.745864661654135	0.00024208378288875	-0.375	0.169123039979317	0	0	0	-0.779474001881904	0	0
ACP5||IRF8	IRF8	ACP5	0.312482687023876	0.000484043001130791	0.508948091810545	0.0219185121942072	-0.0499714602909838	0.859620383978798	0.404167471099685	4.27789757826516e-06	0.568421052631579	0.010089050935986	-0.00714285714285714	0.984662516552938	0	0	0	-0.760672402693117	-0.705422558291437	0
RBP7||MNT	MNT	RBP7	-0.446717558497894	2.80553362420416e-07	-0.537508018717246	0.0145173838313975	-0.269695607326892	0.331008675487975	-0.461854503834631	9.69864000737643e-08	-0.615037593984962	0.00469707024272649	-0.257372756926948	0.354415168873434	0	0	0	-0.755425509364062	0	0
