gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
MSN	0	5.49	5.03	6.09	-1.05	0.0107	-2.71	0.0129	76	2	1	1
IFITM2	0	5.95	5.53	6.61	-1.08	0.0202	-2.45	0.0277	84	2	1	1
ANXA6	0	4.96	4.55	5.38	-0.828	0.0235	-2.38	0.0302	85	1	1	1
SIGLEC1	0	1.41	1.49	0.955	0.539	0.0284	2.31	0.0512	209	2	1	2
SPG20	0	2.13	1.92	2.49	-0.57	0.0333	-2.23	0.033	86	2	1	1
LILRB5	0	1.11	1.21	0.739	0.466	0.0431	2.13	0.158	193	2	1	1
TSPAN7	0	2.83	2.48	3.23	-0.756	0.044	-2.1	0.0302	85	2	1	1
CNN2	0	4.79	4.25	5.16	-0.914	0.045	-2.08	0.0404	88	2	2	1
PLTP	0	4	3.67	4.77	-1.09	0.0479	-2.06	0.0302	85	2	1	1
CCL8	0	0.797	0.937	0.465	0.472	0.0497	2.06	0.113	198	2	1	2
RAB42	0	1.21	1.32	0.882	0.442	0.0499	2.04	0.0512	209	2	1	2
ARHGDIB	0	5.9	5.8	6.62	-0.823	0.0563	-1.98	0.107	101	2	1	1
LGALS1	0	7.09	6.6	7.55	-0.944	0.0586	-1.96	0.0891	98.5	2	1	1
GLIPR1	0	1.77	1.59	2.32	-0.732	0.0633	-1.96	0.0994	100	2	1	1
ST6GALNAC6	0	4.18	4.04	4.43	-0.391	0.0635	-1.92	0.131	104	2	1	1
GSTP1	0	5.45	5.05	6.11	-1.07	0.0682	-1.89	0.08	97	2	1	1
PSME2	0	6.45	6.73	6.34	0.392	0.0728	1.85	0.0473	210	3	1	1
KCNJ5	0	0.717	0.807	0.508	0.3	0.0734	1.86	0.24	186	2	1	1
ITM2B	0	5.28	5.29	5.83	-0.535	0.0736	-1.85	0.08	97	2	1	1
ITM2A	0	2.97	3.15	4.32	-1.17	0.0773	-1.82	0.0503	91	2	1	1
SULF2	0	2.98	2.64	3.2	-0.555	0.0785	-1.82	0.0718	95.5	2	1	1
ELK3	1	3.25	3.22	3.69	-0.461	0.0814	-1.8	0.0463	90	2	1	1
PDLIM2	0	1.95	1.86	2.21	-0.353	0.0854	-1.77	0.0994	100	2	1	1
FABP4	0	2.46	2	2.81	-0.81	0.0854	-1.78	0.0801	97	2	2	1
GIMAP8	0	1.86	1.88	2.35	-0.47	0.0858	-1.78	0.029	84	2	2	1
GADD45B	0	3.84	3.64	4.1	-0.461	0.0873	-1.76	0.131	104	2	1	1
PECAM1	0	3.82	3.82	4.41	-0.591	0.0922	-1.74	0.0638	94	2	1	1
GIMAP4	0	3.27	3.21	3.87	-0.657	0.095	-1.72	0.0743	96	2	1	1
SIRPA	0	2.7	2.36	2.86	-0.497	0.0957	-1.72	0.149	106	1	1	1
BRCA1	1	1.83	1.7	1.35	0.342	0.0986	1.71	0.106	199	2	2	1
LPAR6	0	3.15	3.1	3.58	-0.48	0.105	-1.67	0.131	104	2	1	1
ITGA5	0	3.64	3.34	3.8	-0.462	0.107	-1.66	0.0277	84	1	1	1
SH3BGRL	0	4.76	4.52	5.19	-0.67	0.11	-1.64	0.214	112	2	1	1
ZEB2	1	2.06	1.97	2.38	-0.415	0.122	-1.59	0.08	97	2	1	1
MSR1	0	1.87	2	1.48	0.515	0.123	1.59	0.314	181	2	1	1
GPR183	0	1.58	1.37	1.98	-0.614	0.124	-1.6	0.202	111	2	1	1
MYL12A	0	6.94	6.78	7.13	-0.35	0.124	-1.58	0.211	112	3	1	1
GLI1	1	1.17	1.08	1.48	-0.407	0.128	-1.56	0.08	97	2	1	1
IL4R	0	3.53	3.46	3.95	-0.494	0.132	-1.55	0.227	113	2	1	1
RBMS1	0	2.88	2.82	3.22	-0.393	0.133	-1.54	0.283	117	2	1	1
CCL14	0	1.65	1.38	2.02	-0.632	0.136	-1.54	0.131	104	2	1	1
LDHB	0	5.82	5.36	6.12	-0.754	0.138	-1.52	0.158	107	2	1	1
TNFRSF1A	0	4.82	4.63	5.05	-0.422	0.139	-1.52	0.224	113	2	2	1
ARHGAP42	0	1.16	1.04	1.29	-0.248	0.14	-1.51	0.107	101	2	1	1
ARMCX1	0	2.18	2.01	2.64	-0.622	0.141	-1.51	0.0545	92	1	1	1
PLEKHO2	0	3	2.86	3.28	-0.419	0.146	-1.49	0.0743	96	2	1	1
WISP2	0	0.964	0.856	1.29	-0.429	0.148	-1.49	0.0861	98	2	1	1
FLT3LG	0	1.9	1.77	2.18	-0.413	0.15	-1.48	0.227	113	2	1	1
ST3GAL2	0	1.89	1.78	2.03	-0.245	0.159	-1.45	0.158	107	2	1	1
MNT	1	2.86	2.81	3.02	-0.214	0.161	-1.43	0.279	117	2	1	2
VMO1	0	1.34	1.5	1.18	0.326	0.162	1.43	0.382	177	2	1	1
CNRIP1	0	1.59	1.51	1.87	-0.355	0.17	-1.4	0.0638	94	2	1	1
FCGRT	0	5.35	5.21	5.62	-0.412	0.174	-1.39	0.224	113	2	1	2
CD209	0	0.856	0.91	0.674	0.236	0.182	1.36	0.286	182	2	1	1
LAPTM5	0	5.26	5.02	5.72	-0.704	0.185	-1.35	0.283	117	2	1	1
LITAF	0	5.25	5.21	5.53	-0.327	0.186	-1.36	0.301	118	2	1	1
RB1	0	3.06	3.16	3.49	-0.324	0.19	-1.34	0.283	117	2	1	1
BAX	0	4.78	4.88	4.63	0.257	0.195	1.33	0.0994	200	2	1	1
SAMHD1	0	3.83	3.72	4.13	-0.405	0.197	-1.32	0.227	113	2	1	1
TNFRSF1B	0	2.8	2.62	3.11	-0.485	0.211	-1.28	0.149	106	2	1	1
TMEM150B	0	0.941	1.01	0.719	0.289	0.212	1.27	0.479	172	2	1	1
ADA	0	2.26	2.16	2.5	-0.338	0.213	-1.27	0.131	104	1	1	1
RASA3	0	2.6	2.54	2.91	-0.368	0.213	-1.27	0.268	116	2	1	1
LMO2	0	2.9	2.84	3.28	-0.447	0.215	-1.26	0.179	109	2	1	1
MFNG	0	2.23	2.18	2.61	-0.425	0.219	-1.26	0.114	102	1	1	1
BATF2	1	1.05	1.16	0.837	0.324	0.22	1.26	0.78	159	2	1	1
EMP3	0	4.08	3.75	4.33	-0.577	0.223	-1.24	0.0994	100	1	1	1
CCL3	0	2.09	2.05	1.59	0.46	0.225	1.24	0.521	170	2	1	1
CD40	0	2.45	2.43	2.86	-0.425	0.226	-1.23	0.179	109	2	1	1
S100A11	0	8.36	8.29	8.75	-0.452	0.227	-1.23	0.317	120	4	2	2
ENTPD1	0	2.71	2.62	2.95	-0.328	0.228	-1.23	0.24	114	2	1	1
SLC43A3	0	3.02	2.77	3.19	-0.412	0.228	-1.23	0.139	105	1	1	1
WARS	0	4.67	4.83	4.59	0.248	0.236	1.21	0.438	174	2	1	1
SH3KBP1	0	2.49	2.39	2.71	-0.316	0.24	-1.2	0.227	113	2	1	1
TRIM22	0	3.26	3.11	3.65	-0.532	0.24	-1.2	0.24	114	2	1	1
ZNF653	1	2.22	2.17	2.42	-0.25	0.242	-1.2	0.107	101	2	1	1
LEPR	0	1.12	1.05	1.4	-0.35	0.25	-1.18	0.0994	100	2	1	1
SLC17A9	0	1.46	1.63	1.2	0.425	0.254	1.16	0.633	165	2	1	1
CPNE2	0	3.41	3.17	3.51	-0.341	0.26	-1.15	0.237	114	2	1	2
FCHSD2	0	2.48	2.35	2.62	-0.268	0.262	-1.14	0.309	119	2	1	2
GBP2	0	3.55	3.44	3.95	-0.511	0.272	-1.12	0.24	114	2	1	1
GIMAP1	0	1.43	1.5	1.83	-0.323	0.272	-1.12	0.298	118	2	1	1
