Drivers	Targets	NR	R	XOR
1	ADNP	APOBEC3G	1	0	1
2	ADNP	CD163	1	0	1
3	ADNP	FPR3	1	0	1
4	ADNP	HAPLN3	1	0	1
5	ADNP	PDLIM2	1	0	1
6	BATF2	APOL1	1	0	1
7	BATF2	CARD16	1	0	1
8	BATF2	CCRL2	1	0	1
9	BATF2	CSF1R	1	0	1
10	BATF2	FCHSD2	1	0	1
11	BATF2	FXYD5	1	0	1
12	BATF2	GSTP1	1	0	1
13	BATF2	HLA-DOA	1	0	1
14	BATF2	IFNAR2	1	0	1
15	BATF2	IL4I1	1	0	1
16	BATF2	LGALS9	1	0	1
17	BATF2	MPEG1	1	0	1
18	BATF2	OLR1	1	0	1
19	BATF2	PRR5L	1	0	1
20	BATF2	RCBTB2	1	0	1
21	BATF2	SLC15A3	1	0	1
22	BATF2	SLC17A9	1	0	1
23	BATF2	SLC37A2	1	0	1
24	BCL6B	ABI3	1	0	1
25	BCL6B	EBI3	1	0	1
26	BCL6B	FABP4	1	0	1
27	BCL6B	GIMAP4	1	0	1
28	BCL6B	ICAM2	1	0	1
29	BCL6B	ITGA5	1	1	0
30	BCL6B	LAP3	1	0	1
31	BCL6B	PECAM1	1	0	1
32	BCL6B	PLEKHO2	1	0	1
33	BCL6B	RASGRP3	1	0	1
34	BCL6B	SCARF1	1	0	1
35	BCL6B	STARD8	1	1	0
36	BCL6B	TSPAN7	1	0	1
37	BRCA1	APOL3	1	0	1
38	BRCA1	COTL1	1	0	1
39	BRCA1	CTSZ	1	0	1
40	BRCA1	CXCL9	1	0	1
41	BRCA1	LDHB	1	0	1
42	BRCA1	PDLIM2	1	0	1
43	BRCA1	RB1	1	0	1
44	BRCA1	SAMD9L	1	0	1
45	ELK3	CD40	1	0	1
46	ELK3	CTSC	1	0	1
47	ELK3	CTSZ	1	0	1
48	ELK3	EBI3	1	0	1
49	ELK3	FAM212A	1	0	1
50	ELK3	GIMAP8	1	0	1
51	ELK3	GNGT2	1	0	1
52	ELK3	GPR34	1	0	1
53	ELK3	ITM2A	1	0	1
54	ELK3	LAP3	1	0	1
55	ELK3	LEPR	1	0	1
56	ELK3	LMO2	1	0	1
57	ELK3	LYVE1	1	0	1
58	ELK3	MFNG	1	0	1
59	ELK3	MRC1	1	0	1
60	ELK3	SELE	1	0	1
61	ELK3	SH3BGRL	1	0	1
62	ELK3	SLC43A3	1	0	1
63	ELK3	SPG20	1	0	1
64	ELK3	VAMP5	1	1	0
65	ELK3	WIPI1	1	0	1
66	EP300	FCGRT	1	0	1
67	EP300	TSPAN4	1	0	1
68	EP300	VAMP5	1	0	1
69	EP300	VMO1	1	0	1
70	GLI1	ARMCX1	1	0	1
71	GLI1	CMTM3	1	0	1
72	GLI1	FCHSD2	1	0	1
73	GLI1	FXYD5	1	0	1
74	GLI1	GSTP1	1	0	1
75	GLI1	MMP19	1	0	1
76	GLI1	PDLIM2	1	0	1
77	GLI1	ST3GAL2	1	0	1
78	GLI1	TGFBI	1	0	1
79	GLI1	TNFSF13B	1	0	1
80	IRF8	ACP5	1	0	1
81	IRF8	APOBEC3G	1	1	0
82	IRF8	APOL3	1	0	1
83	IRF8	CCL4	1	0	1
84	IRF8	CECR1	1	1	0
85	IRF8	CETP	1	0	1
86	IRF8	CTSC	1	0	1
87	IRF8	CXCL9	1	0	1
88	IRF8	DOK2	1	1	0
89	IRF8	DRAM1	1	0	1
90	IRF8	EBI3	1	0	1
91	IRF8	HAPLN3	1	0	1
92	IRF8	HCST	1	0	1
93	IRF8	HLA-DMB	1	0	1
94	IRF8	IFIT3	1	0	1
95	IRF8	LIPA	1	0	1
96	IRF8	PLEKHO2	1	1	0
97	IRF8	RAB42	1	0	1
98	IRF8	RCBTB2	1	0	1
99	IRF8	S100A11	1	0	1
100	IRF8	SAMD9L	1	1	0
101	IRF8	SCPEP1	1	0	1
102	IRF8	SLC7A7	1	0	1
103	IRF8	THBS1	1	0	1
104	IRF8	TNFRSF1B	1	1	0
105	IRF8	TNFSF13B	1	0	1
106	IRF8	WARS	1	0	1
107	MNT	IFI27L2	1	0	1
108	MNT	PRR5L	1	0	1
109	MNT	SLC25A20	1	0	1
110	NF1	CCL3	1	0	1
111	NF1	EMP3	1	0	1
112	NF1	FAM212A	1	0	1
113	NF1	VAMP5	1	1	0
114	NR1H3	C10orf128	1	0	1
115	NR1H3	FABP4	1	0	1
116	NR1H3	RNASE1	1	0	1
117	NR1H3	RNASE6	1	0	1
118	NR1H3	SLC43A3	1	0	1
119	ONECUT1	GNG2	1	0	1
120	ONECUT1	MMP19	1	0	1
121	ONECUT1	TNFSF13B	1	0	1
122	RFX1	CSF1R	1	0	1
123	RFX1	LAPTM5	1	0	1
124	RFX1	PDLIM2	1	0	1
125	RFX1	RNASE6	1	0	1
126	RFX1	SLC37A2	1	0	1
127	RFX1	SLC9A9	1	0	1
128	RFX1	VSIG4	1	0	1
129	SPI1	ABI3	1	1	0
130	SPI1	ACP5	1	0	1
131	SPI1	ADAP2	1	0	1
132	SPI1	ADORA3	1	0	1
133	SPI1	APOBEC3C	1	1	0
134	SPI1	ARHGDIB	1	0	1
135	SPI1	C10orf128	1	0	1
136	SPI1	C1QA	1	0	1
137	SPI1	C1QB	1	0	1
138	SPI1	C1QC	1	0	1
139	SPI1	C3AR1	1	0	1
140	SPI1	CAPG	1	0	1
141	SPI1	CARD16	1	0	1
142	SPI1	CASP1	1	1	0
143	SPI1	CASP4	1	0	1
144	SPI1	CCL18	1	0	1
145	SPI1	CCRL2	1	0	1
146	SPI1	CD163	1	0	1
147	SPI1	CD300C	1	1	0
148	SPI1	CD33	1	1	0
149	SPI1	CD4	1	1	0
150	SPI1	CD68	1	1	0
151	SPI1	CLEC2B	1	0	1
152	SPI1	CMKLR1	1	0	1
153	SPI1	CNN2	1	1	0
154	SPI1	CNRIP1	1	0	1
155	SPI1	CSF1R	1	1	0
156	SPI1	CTSB	1	0	1
157	SPI1	CTSZ	1	0	1
158	SPI1	DNASE1L3	1	0	1
159	SPI1	DOK2	1	0	1
160	SPI1	EMP3	1	1	0
161	SPI1	EPSTI1	1	0	1
162	SPI1	FCGR3A	1	1	0
163	SPI1	FLT3LG	1	0	1
164	SPI1	FOLR2	1	1	0
165	SPI1	FPR3	1	0	1
166	SPI1	GBP2	1	0	1
167	SPI1	GIMAP1	1	0	1
168	SPI1	GIMAP4	1	1	0
169	SPI1	GMFG	1	1	0
170	SPI1	GPR183	1	0	1
171	SPI1	HCST	1	0	1
172	SPI1	HMOX1	1	1	0
173	SPI1	HS3ST2	1	0	1
174	SPI1	ICAM2	1	0	1
175	SPI1	IFI30	1	1	0
176	SPI1	IL18	1	0	1
177	SPI1	IL2RG	1	0	1
178	SPI1	ITGA5	1	1	0
179	SPI1	KCNJ5	1	0	1
180	SPI1	LAIR1	1	1	0
181	SPI1	LAPTM5	1	1	0
182	SPI1	LILRB4	1	0	1
183	SPI1	LPAR5	1	0	1
184	SPI1	LSP1	1	1	0
185	SPI1	LY86	1	1	0
186	SPI1	LY96	1	1	0
187	SPI1	MILR1	1	1	0
188	SPI1	MLKL	1	1	0
189	SPI1	MMP19	1	0	1
190	SPI1	MPEG1	1	1	0
191	SPI1	MS4A4A	1	0	1
192	SPI1	MS4A6A	1	1	0
193	SPI1	MS4A7	1	0	1
194	SPI1	MSR1	1	0	1
195	SPI1	PECAM1	1	0	1
196	SPI1	PLEKHO2	1	1	0
197	SPI1	PLTP	1	0	1
198	SPI1	RNASE1	1	0	1
199	SPI1	RNASE6	1	1	0
200	SPI1	S100A11	1	0	1
201	SPI1	SAMD9L	1	0	1
202	SPI1	SAMSN1	1	0	1
203	SPI1	SH3KBP1	1	1	0
204	SPI1	SIGLEC1	1	0	1
205	SPI1	SIGLEC7	1	1	0
206	SPI1	SIRPA	1	0	1
207	SPI1	SLC15A3	1	1	0
208	SPI1	SLC37A2	1	0	1
209	SPI1	SLC7A7	1	1	0
210	SPI1	SLCO2B1	1	0	1
211	SPI1	SPHK1	1	0	1
212	SPI1	TCN2	1	0	1
213	SPI1	TLR7	1	0	1
214	SPI1	TMEM150B	1	1	0
215	SPI1	TNFRSF1A	1	0	1
216	SPI1	TNFRSF1B	1	1	0
217	SPI1	TNFSF13B	1	0	1
218	SPI1	TREM2	1	0	1
219	SPI1	TRIM22	1	0	1
220	SPI1	TYROBP	1	1	0
221	SPI1	VSIG4	1	0	1
222	ZBED2	CCL23	1	0	1
223	ZBED2	CECR1	1	0	1
224	ZBED2	CLEC2B	1	0	1
225	ZBED2	CTSC	1	0	1
226	ZBED2	DNASE1L3	1	0	1
227	ZBED2	EMP3	1	0	1
228	ZBED2	IL21R	1	0	1
229	ZBED2	LPAR5	1	0	1
230	ZBED2	LSP1	1	0	1
231	ZBED2	MDFIC	1	0	1
232	ZBED2	MPEG1	1	0	1
233	ZBED2	RASGRP3	1	0	1
234	ZBED2	SAMSN1	1	0	1
235	ZC3H4	ARMCX1	1	0	1
236	ZC3H4	CCRL2	1	0	1
237	ZC3H4	CD163	1	0	1
238	ZC3H4	FCHSD2	1	0	1
239	ZC3H4	MS4A4A	1	0	1
240	ZC3H4	MS4A6A	1	0	1
241	ZC3H4	MS4A7	1	0	1
242	ZEB2	ACP5	1	0	1
243	ZEB2	ANXA6	1	1	0
244	ZEB2	CD4	1	0	1
245	ZEB2	CMKLR1	1	0	1
246	ZEB2	CNRIP1	1	1	0
247	ZEB2	EMP3	1	0	1
248	ZEB2	ENTPD1	1	1	0
249	ZEB2	FEZ1	1	0	1
250	ZEB2	GLIPR1	1	0	1
251	ZEB2	GNG2	1	0	1
252	ZEB2	HCST	1	0	1
253	ZEB2	HLA-DOA	1	0	1
254	ZEB2	IFI27L2	1	0	1
255	ZEB2	IL21R	1	0	1
256	ZEB2	LGALS1	1	0	1
257	ZEB2	MSN	1	0	1
258	ZEB2	PAPSS2	1	1	0
259	ZEB2	RAB31	1	0	1
260	ZEB2	SEMA7A	1	0	1
261	ZEB2	SLC43A3	1	1	0
262	ZEB2	SLFN11	1	0	1
263	ZEB2	STARD8	1	0	1
264	ZEB2	TRPV2	1	0	1
265	ZNF613	EMP3	1	0	1
266	ZNF613	MMP19	1	0	1
267	ZNF613	SLC37A2	1	0	1
268	ZNF613	VMO1	1	0	1
269	ZNF653	C3AR1	1	0	1
270	ZNF653	CCL3	1	0	1
271	ZNF653	CTSB	1	0	1
272	ZNF653	FPR3	1	0	1
273	ZNF653	LAP3	1	0	1
274	ZNF653	MPEG1	1	0	1
275	ZNF653	MSR1	1	0	1
276	ZNF653	SAMSN1	1	0	1
277	ZNF653	SLFN12	1	0	1
278	ZNF653	TLR7	1	0	1
279	ZNF664	NAGLU	1	0	1
280	ZNF664	RAB4B	1	0	1
281	ADNP	DNASE1L3	0	1	1
282	ADNP	PHF11	0	1	1
283	BATF2	GLIPR1	0	1	1
284	BATF2	LAP3	0	1	1
285	BATF2	STAB1	0	1	1
286	BCL6B	ARHGDIB	0	1	1
287	BCL6B	OLR1	0	1	1
288	BCL6B	RNASE1	0	1	1
289	BCL6B	TREM2	0	1	1
290	BCL6B	TYROBP	0	1	1
291	BCL6B	VSIG4	0	1	1
292	BRCA1	CSF1R	0	1	1
293	BRCA1	DNAJC15	0	1	1
294	BRCA1	GPR68	0	1	1
295	BRCA1	HMOX1	0	1	1
296	BRCA1	SPNS2	0	1	1
297	BRCA1	TAX1BP3	0	1	1
298	BRCA1	VWA5A	0	1	1
299	ELK3	EMP3	0	1	1
300	ELK3	FPR3	0	1	1
301	ELK3	IFI27	0	1	1
302	ELK3	ITM2B	0	1	1
303	ELK3	LY96	0	1	1
304	ELK3	MDFIC	0	1	1
305	ELK3	PECAM1	0	1	1
306	ELK3	TCN2	0	1	1
307	EP300	CNRIP1	0	1	1
308	EP300	DNAJC15	0	1	1
309	EP300	EMP3	0	1	1
310	EP300	FOLR2	0	1	1
311	EP300	HMOX1	0	1	1
312	EP300	MLKL	0	1	1
313	EP300	TCN2	0	1	1
314	GLI1	APOL3	0	1	1
315	GLI1	CYBRD1	0	1	1
316	GLI1	IFI35	0	1	1
317	IRF8	APOBEC3C	0	1	1
318	IRF8	ARHGDIB	0	1	1
319	IRF8	CASP1	0	1	1
320	IRF8	CYSLTR1	0	1	1
321	IRF8	FCHSD2	0	1	1
322	IRF8	FLT3LG	0	1	1
323	IRF8	GNG2	0	1	1
324	IRF8	GPR183	0	1	1
325	IRF8	HLA-DOA	0	1	1
326	IRF8	HLA-DRA	0	1	1
327	IRF8	IFI27	0	1	1
328	IRF8	IL27RA	0	1	1
329	IRF8	IL2RG	0	1	1
330	IRF8	IL4R	0	1	1
331	IRF8	LPAR5	0	1	1
332	IRF8	MFNG	0	1	1
333	IRF8	MPEG1	0	1	1
334	IRF8	RASA3	0	1	1
335	IRF8	SLFN11	0	1	1
336	IRF8	TRIM22	0	1	1
337	IRF8	TRIM34	0	1	1
338	MAFG	ADA	0	1	1
339	MAFG	ARHGDIB	0	1	1
340	MAFG	CCRL2	0	1	1
341	MAFG	GLIPR2	0	1	1
342	MAFG	LSP1	0	1	1
343	MAFG	OLR1	0	1	1
344	MAFG	PECAM1	0	1	1
345	MAFG	SLC43A3	0	1	1
346	MNT	GLIPR2	0	1	1
347	MNT	MDFIC	0	1	1
348	NF1	APOBEC3G	0	1	1
349	NF1	DOK2	0	1	1
350	NF1	GIMAP1	0	1	1
351	NF1	IL27RA	0	1	1
352	NF1	RAB4B	0	1	1
353	NF1	RBP7	0	1	1
354	NF1	SPNS2	0	1	1
355	NF1	THBS1	0	1	1
356	NR1H3	GAS7	0	1	1
357	NR1H3	OLR1	0	1	1
358	ONECUT1	ADA	0	1	1
359	ONECUT1	GMFG	0	1	1
360	ONECUT1	HMOX1	0	1	1
361	ONECUT1	IFI27	0	1	1
362	ONECUT1	NNMT	0	1	1
363	ONECUT1	RAB42	0	1	1
364	RFX1	C10orf128	0	1	1
365	RFX1	CASP1	0	1	1
366	RFX1	GMFG	0	1	1
367	RFX1	MLKL	0	1	1
368	RFX1	SLFN11	0	1	1
369	RFX1	TYROBP	0	1	1
370	SPI1	ANPEP	0	1	1
371	SPI1	CCL4	0	1	1
372	SPI1	FXYD5	0	1	1
373	SPI1	GNAI2	0	1	1
374	SPI1	GNG2	0	1	1
375	SPI1	GPR68	0	1	1
376	SPI1	IFITM2	0	1	1
377	SPI1	MAPRE2	0	1	1
378	SPI1	MDFIC	0	1	1
379	SPI1	PHF11	0	1	1
380	SPI1	SEMA7A	0	1	1
381	SPI1	TRPV2	0	1	1
382	ZBED2	ADA	0	1	1
383	ZBED2	CCL4	0	1	1
384	ZBED2	CD40	0	1	1
385	ZC3H4	CD300C	0	1	1
386	ZC3H4	LGALS1	0	1	1
387	ZC3H4	PAPSS2	0	1	1
388	ZC3H4	TRPV2	0	1	1
389	ZEB2	C3AR1	0	1	1
390	ZEB2	CTSB	0	1	1
391	ZEB2	DAB2	0	1	1
392	ZEB2	GAS7	0	1	1
393	ZEB2	GBP2	0	1	1
394	ZEB2	IL18BP	0	1	1
395	ZEB2	MMP19	0	1	1
396	ZEB2	OLR1	0	1	1
397	ZEB2	PLAU	0	1	1
398	ZEB2	SAMSN1	0	1	1
399	ZEB2	SPG20	0	1	1
400	ZEB2	SULF2	0	1	1
401	ZEB2	TGFBI	0	1	1
402	ZEB2	TMEM106A	0	1	1
403	ZNF613	DNAJC15	0	1	1
404	ZNF613	RBMS1	0	1	1
405	ZNF613	SIRPA	0	1	1
406	ZNF613	STAB1	0	1	1
407	ZNF613	VWA5A	0	1	1
408	ZNF653	CCL4	0	1	1
409	ZNF653	CYBRD1	0	1	1
410	ZNF653	VSIG4	0	1	1
411	ZNF664	C10orf128	0	1	1
412	ZNF664	CASP1	0	1	1
413	ZNF664	FPR3	0	1	1
414	ZNF664	MLKL	0	1	1
415	ZNF664	PHF11	0	1	1
416	ZNF664	SLFN11	0	1	1
417	ZNF664	STARD8	0	1	1
