module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
VBSR 1	207	0.0099	0.002	32	6	VEZF1, ZNF613, MAFG, GTF2F1, SMARCC1, ZNF770	BRD3, DNAJC14, SLC7A1, STK24, CCNK, DCAF7, TRIM25, CLCN4, EIF4B, CS, ALKBH5, EPN2, NBR1, USP22, POLDIP3, TBC1D5, RGP1, TSTD2, PDPK1, RFFL, WDR31, SMCR8, TEX2, DNAJC5, RNF144A, HNRNPF, AMBRA1, KHNYN, TFIP11, KRBA2, ZNF850, PRR14L	35	38	20	15
VBSR 1	89	0.0099	0.003	26	6	VEZF1, POU3F3, ZNF764, SMARCC1, ZNF770, ZFP3	TRIM25, ATXN1L, GLYR1, CYB5D1, NBR1, BSDC1, UBXN2B, TSTD2, PDPK1, DGKE, GEMIN4, RFFL, WDR31, SMCR8, METTL16, SUDS3, TAB3, HNRNPF, NAF1, RBBP5, AVL9, NPEPPS, TSR1, DHX33, KRBA2, ZNF850	35	32	20	15
VBSR 1	147	0.0396	0.003	28	6	SNAPC4, ADNP, NFIC, MAFG, SMARCC1, ZNF770	MGAT5, KIAA1147, SLC7A1, STK24, CCNK, DCAF7, CLCN4, TMEM164, CBX5, ATXN1L, CRKL, TBC1D5, GSK3B, RNF4, YWHAG, COPG2, ABHD2, GOSR1, POFUT1, SERINC3, PSME3, RLIM, DDI2, HECA, HNRNPF, MAPRE1, RTF1, TMED8	35	34	20	15
VBSR 1	188	0.0297	0.004	33	6	VEZF1, ZNF664, SMARCC1, ZNF770, NF1, ZNF146	CSDE1, MGAT5, TRIM44, TRIM25, EIF4B, CS, LSM14A, FNBP1L, TBC1D5, GSK3B, TSTD2, WDR31, CSNK2A1, SUDS3, SRSF1, SBNO1, SET, NOLC1, ACLY, EIF4G2, NARS, DDX3X, KHNYN, PUM1, FUBP1, AVL9, KIAA1324L, RSF1, SMURF2, KLHL11, IFT81, MSI2, ULK2	35	39	20	15
VBSR 1	328	0.0099	0.004	31	4	SPI1, RFX1, BCL6B, NR1H3	C1QA, C1QC, C1QB, FCGR3A, TREM2, KCNJ5, CD68, VMO1, LILRB4, TYROBP, SIGLEC1, TCN2, HMOX1, SLC7A7, CCL3, VAMP5, PAPSS2, NNMT, VSIG4, FOLR2, CD163, ADAP2, GNGT2, ACP5, PLTP, MRC1, LYVE1, SIGLEC7, CD209, STAB1, MMP19	35	35	20	15
VBSR 1	131	0.0099	0.00799	20	4	ZEB2, EP300, NR1H3, ZNF613	GSTP1, SLC43A3, VMO1, HAPLN3, SLC17A9, VAMP5, FAM198A, PAPSS2, NNMT, LDHB, IFI27L2, ARMCX1, TSPAN4, APOE, LGALS1, TSPAN7, SOCS3, TGFBI, VWA5A, FEZ1	35	24	20	15
VBSR 1	4	0.0099	0.00899	41	5	SPI1, BATF2, IRF8, RFX1, BCL6B	C1QA, C1QC, C1QB, FCGR3A, TREM2, KCNJ5, SLC43A3, CD4, HS3ST2, CD68, LILRB4, TYROBP, SIGLEC1, TCN2, HMOX1, SLC7A7, IFI30, CD40, LAPTM5, ADORA3, CSF1R, GIMAP4, FOLR2, SLCO2B1, MS4A6A, CD163, C3AR1, PLEKHO2, TRPV2, ADAP2, APOE, MFSD1, GIMAP8, TLR7, CD209, ADA, STAB1, WIPI1, SCARF1, MSN, RASGRP3	35	46	20	15
VBSR 1	132	0.0099	0.00899	15	4	SPI1, BATF2, GLI1, BCL6B	IFITM2, FXYD5, TNFRSF1A, PLTP, LMO2, SCARF1, CNRIP1, GNAI2, ANXA6, SPNS2, MSN, CPNE2, CPXM1, ITGA5, MMP19	35	19	20	15
VBSR 1	85	0.0198	0.00999	44	4	SPI1, BATF2, IRF8, BCL6B	TNFRSF1B, C1QA, C1QC, C1QB, GBP2, CAPG, CCRL2, TREM2, DOK2, IFIT3, GSTP1, HS3ST2, MLKL, CCL4, FXYD5, LILRB4, LAIR1, SIGLEC1, APOBEC3C, CECR1, SLC15A3, HAPLN3, TNFSF13, LGALS9, IL27RA, IFI30, SIGLEC8, TMEM150B, CD40, SAMHD1, IL2RG, IL21R, GNGT2, SLC2A5, CPNE5, CTSC, OLR1, SLFN11, ARHGDIB, HLA-DRB5, SAMD9L, IL18BP, BST2, APOBEC3G	35	48	20	15
VBSR 1	94	0.0198	0.00999	20	3	SPI1, ELK3, BCL6B	LXN, DAB2, CSF1R, TNFRSF1A, ABI3, ICAM2, ADAP2, CPA3, GIMAP8, WIPI1, STARD8, SCARF1, SPNS2, CPNE2, RASGRP3, PSAP, CPXM1, THBS1, ITGA5, MMP19	35	23	20	15
