user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.110	VBSR.1.mod.111	987	27	38	0	0
VBSR.1.mod.110	VBSR.1.mod.12	987	27	4	0	0
VBSR.1.mod.110	VBSR.1.mod.131	987	27	24	0	0
VBSR.1.mod.110	VBSR.1.mod.132	987	27	19	0	0
VBSR.1.mod.110	VBSR.1.mod.133	987	27	29	0	0
VBSR.1.mod.110	VBSR.1.mod.134	987	27	30	0	0
VBSR.1.mod.110	VBSR.1.mod.158	987	27	27	0	0
VBSR.1.mod.110	VBSR.1.mod.162	987	27	45	0	0
VBSR.1.mod.110	VBSR.1.mod.170	987	27	21	0	0
VBSR.1.mod.110	VBSR.1.mod.176	987	27	34	0	0
VBSR.1.mod.110	VBSR.1.mod.196	987	27	17	0	0
VBSR.1.mod.110	VBSR.1.mod.198	987	27	34	0	0
VBSR.1.mod.110	VBSR.1.mod.199	987	27	48	0	0
VBSR.1.mod.110	VBSR.1.mod.202	987	27	44	0	0
VBSR.1.mod.110	VBSR.1.mod.211	987	27	44	0	0
VBSR.1.mod.110	VBSR.1.mod.238	987	27	20	0	0
VBSR.1.mod.110	VBSR.1.mod.243	987	27	44	0	0
VBSR.1.mod.110	VBSR.1.mod.259	987	27	27	0	0
VBSR.1.mod.110	VBSR.1.mod.274	987	27	11	0	0
VBSR.1.mod.110	VBSR.1.mod.297	987	27	47	0	0
VBSR.1.mod.110	VBSR.1.mod.300	987	27	38	0	0
VBSR.1.mod.110	VBSR.1.mod.302	987	27	29	0	0
VBSR.1.mod.110	VBSR.1.mod.306	987	27	32	0	0
VBSR.1.mod.110	VBSR.1.mod.320	987	27	45	0	0
VBSR.1.mod.110	VBSR.1.mod.328	987	27	35	0	0
VBSR.1.mod.110	VBSR.1.mod.332	987	27	21	0	0
VBSR.1.mod.110	VBSR.1.mod.377	987	27	32	0	0
VBSR.1.mod.110	VBSR.1.mod.383	987	27	38	0	0
VBSR.1.mod.110	VBSR.1.mod.386	987	27	15	0	0
VBSR.1.mod.110	VBSR.1.mod.388	987	27	16	0	0
VBSR.1.mod.110	VBSR.1.mod.391	987	27	26	0	0
VBSR.1.mod.110	VBSR.1.mod.4	987	27	46	0	0
VBSR.1.mod.110	VBSR.1.mod.400	987	27	25	0	0
VBSR.1.mod.110	VBSR.1.mod.56	987	27	20	0	0
VBSR.1.mod.110	VBSR.1.mod.57	987	27	29	0	0
VBSR.1.mod.110	VBSR.1.mod.69	987	27	25	0	0
