TP_2077_Tumor	TP_2078_Tumor	SC_9137_Tumor	SC_9142_Tumor	MO_1469_T	TP_2081_T	TP_2093_T	TP_2096_T	SC_9175_T	MO_1510_T	MO_1511_T	SC_9176_T	SC_9178_T	SC_9146_T	SC_9181_T	SC_9183_T	SC_9190_T	SC_9192_T	MO_1556_T	MO_1012.Tumor.Subcutaneous_nodule	MO_1020.Tumor	MO_1015.Tumor	MO_1040.Tumor	MO_1054.Tumor	MO_1071.Tumor	MO_1084.Tumor	MO_1094.Tumor	MO_1095.Tumor	TP_2001.Tumor	TP_2010.Tumor	TP_2009.Tumor	SC_9012.Tumor	MO_1118.TM	MO_1128.Tumor	MO_1124.Tumor	SC_9017.Tumor	SC_9022.Tumor	SC_9023.Tumor	SC_9026.Tumor	SC_9028.Tumor	SC_9029.Tumor	SC_9032.Tumor	SC_9034.Tumor	SC_9036.Tumor	SC_9037.Tumor	SC_9043.Tumor	MO_1179.Tumor	MO_1184.Tumor	MO_1176.Tumor	MO_1192.Tumor	SC_9050.Tumor	SC_9055.Tumor	MO_1219.Tumor	SC_9057.Tumor	SC_9058.Tumor	MO_1241.Tumor	MO_1262.Tumor	MO_1202.Tumor	SC_9068.Tumor	TP_2054.TM	SC_9080.TM	SC_9081.TM	SC_9083.TM	SC_9031.TM	MO_1336.TM	MO_1337.TM	MO_1339.TM	SC_9086.TM	SC_9091.TM	TP_2060.TM	TP_2064.TM	SC_9092.TM	SC_9093.TM	MO_1410.Tumor	MO_1421_Tumor	TP_2069_Tumor	SC_9124_Tumor	SC_9129_Tumor	MO_1447_Tumor	MO_1446_T	MO_1460_Tumor	PROS10448.1115150.Tumor.SM.5EEBK	PROS10448.1115156.Tumor.SM.5EEBN	PROS01448.1115161.Tumor.SM.5SGU1	PROS01448.1115183.Tumor.SM.5SGU3	PROS01448.1115202.Tumor.SM.5SGU5	PRAD.01115362.Tumor.SM.7A15P	PRAD.01115444.Tumor.SM.6B2K9	PRAD.01115467.Tumor.SM.6B2KD	PRAD.01115468.Tumor.SM.6B2KE	PRAD.01115526.Tumor.SM.A4KND	PRAD.01115528.Tumor.SM.A4KNF	PRAD.01115549.Tumor.SM.A4KNH	PRAD.01115550.Tumor.SM.A4KNI	PRAD.01115554.Tumor.SM.A56E4	PRAD.01115574.Tumor.SM.A56E7	PROS12319B.SU2C.06115114.Tumor.SM.4W2N9	PROS12319B.SU2C.06115116.Tumor.SM.4W2NB	PRAD.06115124.Tumor.SM.7LGU1	PROS01448.6115234.Tumor.SM.67ERX	PROS01448.6115235.Tumor.SM.67ERY	PROS01448.6115237.Tumor.SM.67ERZ	PROS01448.6115247.Tumor.SM.67ES2	PROS01448.6115251.Tumor.SM.67ES6	PRAD.6115381.0.Tumor.SM.7LGU3	PRAD.6115388.0.Tumor.SM.7LGUA	PRAD.6115399.0.Tumor.SM.7LGUL	PRAD.6115590.0.Tumor.SM.B2XRS	PRAD.6115594.0.Tumor.SM.B2XRW	PRAD.6115595.0.Tumor.SM.B2XRY	PRAD.6115597.0.Tumor.SM.B2XS5	PRAD.6115600.0.Tumor.SM.B2XS6	PRAD.6115604.0.Tumor.SM.B2XS9	PM14.TM	PM155.TM	PM158.TM	WCM209_Z2	WCM335_X1	WCM252_Z3	WCM393_Z3	WCM665_X1
NKX3-1	8.94363943227197	8.37591385469137	8.61731013986624	7.22669507122325	0.476547904741492	7.17600696925303	7.44447362997209	8.55545532055829	8.84981695956494	8.73006102914013	8.02300041085111	8.04193509997415	7.70623085875566	2.71904500801268	8.04193509997415	8.40084670656913	8.40084670656913	7.8884899830772	9.48181710138658	0.797899648846278	8.46667491203753	3.70701658332332	10.4949000627615	8.38688416650014	8.45271070115262	8.01303513083572	3.01170411337532	8.20141783055417	8.45271070115262	8.78195277397124	6.31638549173401	7.483274805281	0.801763848585194	7.99509823436839	8.33901538801361	7.22669507122325	8.73006102914013	8.29015391043762	8.71010371358369	8.99953903074146	8.64724209465814	8.94363943227197	7.20383437530315	7.8137823479485	8.23531508650974	8.28018276132601	7.71419647704622	8.15655758061155	8.26821764663354	9.0983707803609	10.1761227106614	8.79991619909535	7.51312546105547	8.64724209465814	7.98613008156271	8.83185229101179	9.9013583623054	9.0624306329983	8.51056466096071	8.11269849163685	9.18523214592787	8.31508264961901	8.00307009147264	0.767384593950363	7.89745590586082	9.0624306329983	9.97828779559341	8.84981695956494	8.23531508650974	6.42914707582296	8.86878013949196	8.74702520874714	7.71419647704622	0.306894405254424	6.88403509008632	7.2813707689456	8.46667491203753	8.6322759407949	8.71010371358369	2.01764827093599	1.57490506059833	1.24562145709123	8.04193509997415	8.66220859782181	8.90570981140255	9.45485140658947	9.9013583623054	7.34998092111421	4.19851160046896	9.56171914103823	1.08701223752651	4.53704122199266	8.64724209465814	8.14658923072506	8.74702520874714	9.23016364769453	7.92435493576069	1.01297039184481	7.10744677305683	8.31508264961901	7.18992025614677	1.44900576006058	8.31508264961901	9.2071983913442	1.04144823004371	5.54115747241833	7.34998092111421	8.32704887934252	8.41381224548188	6.45487793304065	9.32602445730454	8.16752301714523	8.71010371358369	8.23531508650974	1.29577713003413	5.58922600040249	9.27809289653137	10.7217690573109	0.304719134562653	8.40084670656913	0.308804979787209
AR	7.22172516722409	7.13924020587224	7.33506410059497	2.3148602981965	0.108200497524267	5.73656019390856	7.99509823436839	7.80481845999129	6.88006561110697	8.02300041085111	9.18523214592787	7.4892446887231	5.56665935846647	0.133695089734414	5.39910270758085	4.52358649234638	9.86938881371648	6.07242475221775	4.96420648769583	0.506043454421362	5.16271131740095	3.03660636716299	7.51312546105547	4.61787434674884	4.53511880674762	6.15730776787452	0.336842725106407	5.89794108731604	8.81488606599625	5.73459397640929	6.12966424674221	3.80314939527958	0.746815946215978	7.1660694211712	4.09599840200125	3.8462274456515	11.1775606868781	5.40497499951133	6.66188037405347	3.53002239837914	8.14658923072506	7.71419647704622	3.82374105376469	7.51312546105547	5.85855313844741	7.23067106895934	5.05752625364755	5.43630260135812	4.69984556781742	8.99953903074146	7.6912958383547	8.37591385469137	5.76114177494106	7.5559167188879	10.2200889993027	9.35098970231148	8.3499849307137	8.25625282246491	6.00535565541829	7.03096288282592	7.65545456146832	6.1513835822254	9.30105981894486	0.677885183763646	7.0140805632594	8.2123843253051	6.91281630648815	5.74049276687734	6.57072448284493	3.7853819648864	6.8870122543678	9.76848947381706	6.77986476086465	2.95940885949766	4.07705792019418	6.64998747399828	8.51056466096071	7.10247946236389	6.07439802255149	0.0245982428936988	1.37098011878117	0.712524497262255	6.86220399965431	7.66242338904187	6.02409117892121	8.6322759407949	5.90286574927634	6.60341555272187	1.90615959545662	4.60342692219307	0.425994337524382	7.27142882249529	5.4284693344978	7.29230737042657	6.85128941773613	7.85262842954301	5.5039015044406	1.60575360930107	5.5029213448487	6.64106838032426	5.3717055990863	0.417137199985892	6.74317168873991	7.95125583086897	1.05443643391347	7.03096288282592	6.63809546044059	7.09850569496707	4.70660372717951	6.23138590045189	6.90189877999	5.25051746053257	5.82115026739354	7.8297187001786	4.53127428673719	3.67445607202775	8.94363943227197	7.76398583955642	0.969197258096296	10.136154261731	1.10670544480606
SPDEF	9.03946966020434	8.06186727147559	7.18992025614677	5.36485811919654	0.241763079541084	7.69926109886707	6.57369610813662	7.67636149411193	7.71419647704622	6.9247270443676	6.84831282594804	7.10247946236389	7.89745590586082	0.491521277312745	6.4519087435497	6.70549514279511	6.91678647052872	6.76300481274973	7.53103732660479	0.0448541616205265	6.52417673489298	4.16144811601991	9.53375281176087	7.66939236682996	8.01303513083572	9.76848947381706	3.3530223960056	6.72433235989135	9.53375281176087	7.78788728683781	6.29760146750286	6.55388638147256	2.06923757695657	7.74207762510108	8.28018276132601	5.49704067077483	6.30452157013839	7.37683334835634	6.99719962881299	6.63809546044059	9.37595554357257	7.8137823479485	5.6402708722277	8.08180037366846	6.64701438721671	8.73006102914013	6.58558319197362	5.8024546868272	8.46667491203753	9.30105981894486	7.916384656812	8.33901538801361	6.85525828182044	7.39473648153908	6.27684347180412	7.18495112915834	8.30311670115982	8.00307009147264	7.30324445070447	6.95450708690898	7.90642203977003	8.51056466096071	7.74207762510108	0.286581219716023	6.81954161262869	8.1336307041654	8.67917105246613	7.39970978673836	6.85922723144309	7.09353858749232	8.92467439055005	8.41381224548188	7.37186046981936	5.24758845777042	6.30649881262357	7.69926109886707	9.03946966020434	7.80481845999129	6.83343059417681	1.01796357434398	3.63731225185106	0.575396732334816	7.0349353928733	7.1660694211712	7.44447362997209	8.42578070896607	6.76002969813291	7.39970978673836	1.77663232784583	6.98131297030469	0.924421248846526	4.97197645556721	7.01010845347429	5.8683985556117	5.93340435055356	6.36286316472177	7.4892446887231	0.113698757295933	6.34110556413935	7.43154110203768	8.58538429442839	1.02520042043276	8.58538429442839	7.78788728683781	1.15500123362606	5.52154667265081	6.5935084297679	7.50616003215974	5.58137596540599	6.73028139478759	7.24061135191057	7.0220250126724	6.16520716514956	5.48528078667341	4.36445411339084	5.23001748118455	6.67476534113719	8.07183370703518	0.343781426443081	8.33901538801361	0.0444718556204329
CES1	0.209315117013252	0.227656669810261	0.962726190597416	1.1711497033973	6.72730685106979	0.386850851694148	0.0962468107970879	0.82468981488804	0.00977886638765416	0.752858282296375	0.338569712121678	0.895763949327554	0.573814024444743	2.60581626560173	0.892669362915574	0.296372606595408	0.908204603033343	0.328284266564341	0.156002379736951	2.48990930926544	1.41038404929564	4.74717624253003	0.44539952335765	0.926525820748033	4.61691101319508	0.360292939621012	0.151229839128722	0.339146511691613	0.170726509225689	0.535861929159749	0.572628733409049	5.54213815094226	5.40497499951133	2.39230466199388	0.019708820875953	6.84037548447221	0.309078469467651	1.87284802013855	1.67905394813306	0.9811252578677	0.289736585960855	0.0749994332573747	2.0715947316568	1.07896009592296	8.73006102914013	0.455297638833443	1.05047396206454	0.570656560482264	0.122231214677424	0.33483436541424	0.256816412425236	0.709822943093872	0.436301484085493	0.452211779377143	0.712975356846657	3.68933404361761	0.287105771319528	4.23752874823085	0.423358383354157	2.17953545207934	0.881375874384307	1.53674262958358	2.17392886324598	6.7530879639847	1.2320111857365	2.74324967437648	0.735737382674071	2.35759211841627	0.471618968070805	3.89596738056634	1.19347590169614	0.477961868867373	0.0828379523353081	0.55657886778838	1.59450343681947	0.500567574869646	0.687549886533838	1.26180815576149	0.428640101609705	3.86029335558124	6.85922723144309	3.31477129777135	1.53950302972572	0.88547290017994	0.316237675944753	0.903008883845133	0.742649856412378	1.35732212525752	3.467437028284	0.209536723821055	7.18097590424394	3.51896092650025	0.731150587799985	0.558521319338405	2.70782887058401	1.29071496317728	0.708474481907981	6.06157242065819	5.51566446803196	1.76852991219172	0.30499056326227	7.78788728683781	0.333118439752685	0.771160254362165	1.26681080272961	1.36316703915353	3.31295230700746	2.39230466199388	0.710272773212177	1.16575338694154	0.601081835402903	2.43135541783175	5.28372282072331	2.85819418929543	9.97828779559341	1.39126858397782	0.315130168417269	0.0209473321423481	6.1513835822254	0.378181891112929	5.3883381933149
HOXB13	7.8795242727303	7.46039141347146	7.82175043618022	6.68071259455303	3.0856752570491	5.53625427704749	7.30324445070447	7.57383116024997	7.24061135191057	8.57141725663679	8.00307009147264	7.74207762510108	6.27190160689996	1.27245119469722	6.60341555272187	6.76597997863256	7.9781585568545	5.97873744745247	8.6322759407949	0.0448541616205265	7.64251285411828	5.55684989945179	8.07183370703518	8.03196936725805	7.21277960197864	7.5559167188879	6.21755440825839	6.84831282594804	7.50616003215974	7.39970978673836	7.24458758006206	6.71838353558276	3.4830612777518	6.58558319197362	8.41381224548188	6.83045429395264	9.01950410547372	7.70623085875566	7.34998092111421	7.1163882151923	6.8979289254283	7.44447362997209	6.40144234031185	7.6076724198398	6.67476534113719	6.79275876133678	6.31638549173401	6.70252104020411	7.56785956183165	7.1163882151923	8.23531508650974	8.2462823593254	6.55190555289316	8.17948560995921	6.81954161262869	7.23564115900311	8.02300041085111	7.32512003329645	7.96022320444386	7.09353858749232	8.90570981140255	7.483274805281	7.42159341675331	3.06959417954192	6.13756169770996	7.34600301828382	8.73006102914013	6.80267786548273	6.22545792030845	3.93263930230779	6.98131297030469	7.4713354135503	7.50018979767197	6.12078028737555	5.50586186404041	7.05479907285679	7.77195280706878	7.56785956183165	7.33009201875483	4.05623956277643	0.662248218240168	0.602709839745581	7.60070479799582	6.76597997863256	7.21675536707957	7.18495112915834	8.76498773757826	7.00613642058316	2.60155659502745	7.14321470359456	0.656226721796913	3.89502785626397	7.7351071230994	7.40965667241927	7.2813707689456	7.56188808121554	6.69359905351974	0.148022571629592	5.39127379558367	7.68432639313946	4.51013687076254	1.00302565303631	7.50616003215974	8.2462823593254	5.07504273388409	8.49759688677742	6.02014657311178	6.90884622466561	6.70549514279511	6.47467414228495	7.38876863700687	7.04685337573701	7.04288063953499	7.0220250126724	0.155426137029617	4.46885974413317	6.87014228206105	6.84037548447221	0.313197368281668	5.20854898769221	0.0153847240325913
FOS	1.22585089326384	1.24934707281115	2.43468877992653	2.3790601763845	2.49663056411289	6.48259340577798	5.25247020905718	4.28422832804453	1.4854272217214	1.30911428749158	7.10744677305683	3.27480665108588	3.01703580286145	5.20269532183166	1.78844664120342	1.91528722880936	6.25015978021725	2.03790976097389	0.797899648846278	3.98445517845985	1.84952762162262	5.05460741253136	0.879842347369152	3.5254125774316	1.65897864834286	1.84128257270745	5.39420952875891	8.30311670115982	8.00307009147264	2.58709011737202	7.7968507484895	2.66997033943085	2.79445826257435	3.7042235312369	2.27891925325078	2.19960301307019	7.34998092111421	2.22700428380216	1.66112429298164	7.26049314516227	3.8284237705053	4.7945608245696	3.14841321300468	1.52160291391996	3.17629684488293	3.66237627582011	4.22419979871084	2.88274823655587	1.51063753549686	3.09282924713079	6.71243492272446	2.54384458790135	5.25247020905718	4.60920522777198	5.00015290023244	2.54976644553643	1.05727187745292	2.93555901105753	3.07227287213624	1.97505531681158	2.11816384984117	1.75897535289888	2.50083436937681	3.70236171925137	2.02621060164935	1.47323746249061	1.32508401425639	1.46311690433812	2.04963560964085	3.97219749949219	3.78725150480971	7.56188808121554	3.7666959032218	4.37114897159682	8.73006102914013	2.99572391993607	3.89127015324968	1.36772191351954	2.46475794606398	4.93605081455787	2.36666652569886	4.94381624865466	8.9805726604247	1.11779541786911	2.03088705268381	2.07238068321674	1.46042387515659	5.89794108731604	7.71419647704622	2.50419908227607	8.1027311187032	4.08273860299159	1.76926582265168	6.43904299091111	2.15315199440357	1.33342771101473	1.15321446253202	3.89127015324968	6.15335827617633	3.70329260295251	3.04640395891136	2.66310437144004	2.01376109151652	1.2080789288673	4.67185963241746	5.28567664439446	5.29642378946649	2.3964487413196	1.72098674116208	5.47352286767005	3.9269936270162	5.89301668295599	2.80229389373973	10.7217690573109	4.19375709986349	5.40399624810708	2.14119968805049	7.34600301828382	1.36902472356411	4.81875685528581	6.36978680115706
ERG	7.08956498317122	1.71517520363338	5.38148896523437	3.19341639465136	2.34359193814563	2.07080889672932	5.12373003240983	5.84378699956656	5.40301751112306	5.11009313418846	2.86958698776555	2.55823390243636	6.35890696586403	2.02854829088636	6.15928256552835	5.71395148611921	5.05655328836642	2.48151613680362	6.47665391659128	1.87662097256569	3.15830050494385	1.33986424406133	7.34600301828382	2.25371864281532	4.8671888261282	7.2813707689456	3.36762020494451	5.16563601780158	7.62857621836999	1.90464009173828	2.3724474428147	1.06979832966265	2.19237079124723	3.24219236365224	4.19565880300837	3.50514424740654	4.44009126233247	1.86455883836805	4.91276213402575	1.64328283658174	1.35861989016414	1.1850014511486	5.14126820293982	2.13006704971041	3.51896092650025	6.41628345792565	5.62947010978419	3.34117216512381	6.17409464359127	7.10247946236389	2.65110195272768	2.69662664705614	1.54779844344913	1.29958051586627	1.91909576578064	6.7739140041581	1.82185709042897	5.0779627165185	3.74616101829449	4.18710216093053	1.97814059853215	1.86380604930727	1.99204851321106	1.58749091971579	1.37293692938379	4.86428143052725	2.37988721483727	5.59315132335461	1.86305338926218	2.5185155922067	2.18835672453573	6.38957062821835	2.18755424053868	2.65624381117797	3.22229937269702	5.32672125133521	6.56180995847879	1.97505531681158	5.61768916765028	1.51885798308801	0.639205652710909	4.00993344985504	6.68467755077094	1.89250231794632	5.37953217455782	2.22458149322988	2.07080889672932	1.64684404041077	4.04678233429829	1.17716140909061	2.61604837236002	0.710272773212177	0.628287102337206	3.67445607202775	3.13045594771412	6.64998747399828	1.8751114065389	2.18354346981355	4.68440261838321	5.98760939996738	3.88093973265691	1.11136749568863	7.0806246399312	2.42885640784397	3.30386078364551	1.45101751002715	3.68375344882975	2.44803758837008	2.13563060311419	2.40474426175342	5.71591721676844	4.80520541636397	1.95735302786166	0.994780810739942	2.22054566501507	2.45890149926356	1.84952762162262	2.6974878605047	1.01851922830634	0.177197856869795	1.15500123362606
CREB3L1	7.43154110203768	5.07212291336254	5.16271131740095	4.19280629690042	2.85031432222805	3.9986064569409	4.90015225252253	5.08672363391382	6.16718210042154	5.01959423227616	5.8811991686963	6.03592590224806	5.2993551553263	0.522688691401512	3.64195119598286	6.5935084297679	4.93702142472804	4.40177193588726	4.07232497990903	4.18425053216488	6.52714742975206	6.26300675320565	4.77811527486397	6.41430454792731	5.46078735790996	2.70610454366694	8.00307009147264	5.64419879124268	2.17793301711359	7.2505520449112	4.88075913154212	6.24225463021499	4.0354383731676	4.1728469580637	1.24934707281115	6.19681021829087	4.88269807590051	5.37659709852778	5.90385071250431	7.916384656812	8.2123843253051	1.37293692938379	6.57963953375871	4.31763019671812	4.37497523961536	5.55881168754056	6.57963953375871	5.00792852924577	4.75104237406452	7.24061135191057	5.23294561394318	7.9333216952598	1.97968397258997	6.96244919439512	6.0980801022662	3.66423420405401	9.61665487247735	7.62857621836999	5.25247020905718	2.69576551647662	4.09220919422764	3.09104035645694	6.50536374194843	2.77880604538323	4.55242425228926	4.72205518485892	4.75974247855643	6.37275418593699	2.89241044566497	3.68747366513174	5.02834527769121	5.98760939996738	7.90642203977003	4.29567622430377	7.60070479799582	6.22743388080143	6.85525828182044	6.82648596980468	4.99335021921833	0.308804979787209	0.941866625532552	1.22339136922426	3.4206547122106	5.33454233376682	4.29185977231266	5.73066167968934	2.45304970216394	4.94964115099012	1.41236897654858	3.41149785657901	3.821868255686	7.24061135191057	5.35214329842203	4.87397347361092	2.94703577023526	3.67910419442669	6.57369610813662	0.667436021478483	5.61376258533821	3.74989308044162	5.44511610557786	1.31293790185003	6.36088505027881	3.47478776013216	4.96129306963291	1.16934943364194	5.11691115427806	6.72433235989135	4.46502253100151	3.79660173471208	4.47461637427796	6.20273675400063	4.59668669033888	6.70946069585969	1.49766596432859	4.65064214811351	4.87978969014773	4.37975872163495	1.17716140909061	3.63267447040651	2.58538985186775
BHLHA15	4.67282433625978	4.84684099258454	0.829617045006101	2.03712898495976	2.89328927208539	2.8511895607034	2.47648472812899	4.8604051937055	2.59644787969107	1.8751114065389	1.37163223176118	3.41058246568637	5.63732506189876	0.0749994332573747	1.04088557089799	4.80230208595281	2.75797626897491	0.611711757962888	3.26845900212148	0.0448541616205265	1.52847567745691	0.595000640672899	3.53186667553719	6.00535565541829	2.72249891242709	2.97356654865718	0.00373563641694591	1.72899197698636	4.72785099156978	5.54508026525599	0.357013881685319	3.05353459660177	2.26833892651071	5.79556783945388	3.27480665108588	1.09162835818741	3.41241330114074	2.51682991619092	3.38954335909831	2.46810656887685	6.57072448284493	2.91704535297217	3.61506156557333	6.63512259641715	3.28569499332088	3.71912442542166	1.48746361642973	3.36944592675268	0.977863909283231	6.21755440825839	1.25494650154647	3.46468135786939	1.31357573155812	4.7945608245696	4.02976833180552	5.18513790320734	6.23138590045189	5.59609544875954	1.6833701159829	5.63339748712489	4.28422832804453	2.63569479185868	4.41422081331483	1.47864907197823	2.39561972881169	4.12064166972764	3.80314939527958	1.84877742145467	3.10983671671155	2.46559496000412	3.26030196659901	4.89627297655059	3.91664683384439	2.09443449198092	2.53285862433583	3.27662079171951	5.57352674858479	2.29768157748901	4.69115817490064	0.578172855009674	0.298514012679726	2.10786846839027	6.88403509008632	6.77986476086465	0.36358957320613	1.33471374550906	3.28569499332088	3.4454047893078	1.27621874861587	3.18800781194441	0.112188825395797	0.0138576824884092	2.73113938176536	1.93130417329134	1.68625035788815	3.9665422418732	1.71009734821901	0.116232782964243	0.953601314111099	4.44680170784591	2.52441834679336	0.677885183763646	3.07852547131403	4.44200839500569	0.312371102111533	0.136220298570513	3.00815102757608	3.01348106872829	2.3526475554985	0.722483069718669	0.946657087608657	0.761272719688846	3.55401345332522	2.54722796469902	0.879331518102296	1.3174060709126	0.263025804452269	4.28708989113387	1.04708419972517	6.73028139478759	0.192606867152893
ETV4	0.451869686660791	0.374502098977398	0.3525706657699	0.609248644368203	6.27387832896234	0.314577246985173	0.54462739250468	0.636254812392033	0.532077801645902	0.617069233192204	0.366903836207491	0.443706178419691	0.23512423285384	2.57774303561148	0.150094359830264	0.503118486848365	0.247774077866723	0.54616065676559	0.293176774364672	5.642234807204	0.627869436295698	1.48135851527825	0.337993481390258	9.23016364769453	1.51543017961801	0.110520296881725	1.01352450501844	0.220087937869684	0.198817722104114	0.43196112998316	4.92925709790805	0.947190223925153	3.11521236282327	0.508243936626622	0.48150787675919	0.350214225288434	0.834561600920355	0.244638485467353	0.398168083901757	0.489006218029102	1.26681080272961	0.646831586787724	0.20490802347883	0.180888547381654	0.417137199985892	0.346696821946881	0.529815146185922	0.812935140523826	0.342619273396401	0.452896432905291	0.685786520263901	0.349039459155686	0.166343535532155	0.769271042222957	2.83981737707151	0.234183832880183	10.0172534641952	0.689757939474902	0.454610798873021	0.79645342972021	0.335981148608097	0.34203905379397	0.273385371933796	1.57630115543899	0.337130201134483	0.379721407366914	0.326587806556213	0.198170663379961	0.115554900711036	0.218952767823232	0.30825841348882	0.220315336960308	4.03921912014745	0.392170974165457	0.566724624196131	0.49875030865287	0.352865869275488	0.217368632518589	1.00688645312459	3.73123972592506	1.5783963930459	0.261029995213036	0.218499550801857	0.280069459046368	0.233479840894905	0.461507369693282	0.552319955028058	0.287630859560227	0.132261110941044	1.00247479602095	2.30095020337891	0.368416161776208	8.04193509997415	0.399437528654655	0.93391359252773	0.263025804452269	0.551933767584319	1.54019350025808	0.265029931355822	0.175163249649183	0.534724978797583	6.56180995847879	0.778269422694297	0.322649046020157	0.663111151212902	6.025077354023	0.677885183763646	3.04729505350888	0.389662021646197	0.232776968674488	0.296105541941504	0.481863350380757	0.455297638833443	0.731150587799985	0.684465789355451	0.18150722719311	0.549235054290141	0.323771604108083	0.724302652270283	0.752392452555888	1.29577713003413
