module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
VBSR 1	45	0.0198	0.002	35	5	VEZF1, MAFG, SMARCC1, ZNF770, NF1	PELI2, CSDE1, MGAT5, CLSTN2, SLC7A1, TUBGCP3, CCNK, TRIM25, CBX5, CTDSP2, CRKL, TBC1D5, TSTD2, WDR31, RAB11FIP4, AP2B1, EIF4G2, SPTLC2, DDX3X, PTPN11, KITLG, MED1, FUBP1, PKP4, USP37, NEK4, AVL9, KIAA1429, RSF1, TMED8, HELZ, CAPRIN1, TLK2, KLHL11, TRIM37	35	40	20	15
VBSR 1	161	0.0099	0.002	12	3	SPI1, IRF8, BCL6B	C1QA, C1QC, CD4, IL21R, ABI3, FOLR2, ADAP2, GNGT2, PLTP, CPNE5, LMO2, RASGRP3	35	15	20	15
VBSR 1	209	0.0099	0.002	12	3	SPI1, BCL6B, NR1H3	TREM2, GSTP1, TCN2, CD40, VAMP5, FAM212A, NTAN1, ABI3, TSPAN4, APOE, PLTP, MMP19	35	15	20	15
VBSR 1	483	0.0099	0.002	6	1	ZNF770	LEO1, CLCN4, SYTL4, CSTF2T, DDI2, RTF1	35	7	20	15
VBSR 1	346	0.0099	0.003	18	3	SPI1, ELK3, BCL6B	CD4, DAB2, TNFRSF1A, ABI3, ADAP2, PLTP, GIMAP8, WIPI1, STARD8, SCARF1, CNRIP1, GNAI2, SPNS2, MSN, CPNE2, RASGRP3, CPXM1, ITGA5	35	21	20	15
VBSR 1	126	0.0099	0.005	24	4	ASCL1, NKX2-1, POU3F3, NEUROD1	NRSN1, MPP2, LRTM2, NDRG4, DNER, KCNMB2, PCSK1, RALYL, INA, RUNDC3A, SEZ6, CELF4, PCSK2, KCNH6, ELAVL3, CHGB, TIAM1, SEZ6L, CABP7, FSD1, SYNGR4, BEST3, CNIH2, KCNH3	35	28	20	15
VBSR 1	305	0.0198	0.005	11	4	SPI1, ELK3, ONECUT1, POU3F3	DNASE1L3, SLC43A3, ANPEP, SLC17A9, PAPSS2, NNMT, SLCO2B1, APOE, LEPR, LYVE1, PDK4	35	15	20	15
VBSR 1	82	0.0099	0.00699	23	3	SPI1, ELK3, GLI1	CMTM7, LSP1, CNN2, EMP3, LAPTM5, DAB2, CSF1R, GIMAP4, GLIPR2, RAB31, GPR68, PLEKHO2, TRPV2, FCGRT, ACP5, PLTP, SH3KBP1, LGALS3, SLC37A2, RASA3, SPNS2, GAS7, CPXM1	35	26	20	15
VBSR 1	336	0.0099	0.00699	31	3	ASCL1, T, POU3F3	SIPA1L2, SCN3A, PCSK1, GRM4, AMPH, KCNB2, CACNA1B, RUNDC3A, SEZ6, TMEM145, CACNA1A, UNC13A, SULT4A1, TCERG1L, SCN8A, ANO4, RIMBP2, NRXN3, TRIM9, AP3B2, ATCAY, MAST1, SYN1, UCHL1, KIF19, DSCAML1, PSD, CPT1C, MYT1, THEG, SETBP1	35	34	20	15
VBSR 1	475	0.0099	0.00699	22	3	SPI1, RFX1, BCL6B	CAPG, TREM2, CD68, CD300C, TYROBP, HMOX1, SLC7A7, LAPTM5, S100A4, CSF1R, MILR1, GMFG, HEXA, MPDU1, TRPV2, ADAP2, ACP5, RBP7, CD33, CLEC4A, EMILIN2, SLC37A2	35	25	20	15
VBSR 1	263	0.0198	0.00799	22	3	SPI1, ELK3, BCL6B	CD4, CD68, LXN, DAB2, CSF1R, GIMAP4, TNFRSF1A, ABI3, SEMA7A, ADAP2, ACP5, GIMAP8, STARD8, SLC37A2, SCARF1, GNAI2, ARHGAP42, SPNS2, MSN, CPNE2, RASGRP3, ITGA5	35	25	20	15
VBSR 1	446	0.0198	0.00799	11	5	ELK3, VEZF1, THRA, ADNP, ZBTB12	GATAD2B, FBXL20, SOCS7, PIP4K2B, LSM14B, WDR31, KDM1A, PUM1, PHLPP1, TTI1, MSI2	35	16	20	15
VBSR 1	394	0.0198	0.00899	23	4	VEZF1, ZNF613, SMARCC1, ZNF770	FNBP1L, TBC1D5, GSK3B, UBXN2B, TSTD2, ABHD2, UNC119B, DDI2, WDR31, TEX2, CSNK2A1, SUDS3, SBNO1, NAF1, NEK4, AVL9, RSF1, KRBA2, ZNF850, KLHL11, TRIM24, ZNF704, RPL30	35	27	20	15
