user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.104	VBSR.1.mod.111	987	45	21	0	0
VBSR.1.mod.104	VBSR.1.mod.114	987	45	15	0	0
VBSR.1.mod.104	VBSR.1.mod.124	987	45	13	0	0
VBSR.1.mod.104	VBSR.1.mod.130	987	45	27	0	0
VBSR.1.mod.104	VBSR.1.mod.132	987	45	14	0	0
VBSR.1.mod.104	VBSR.1.mod.142	987	45	13	0	0
VBSR.1.mod.104	VBSR.1.mod.15	987	45	9	0	0
VBSR.1.mod.104	VBSR.1.mod.154	987	45	24	0	0
VBSR.1.mod.104	VBSR.1.mod.155	987	45	14	0	0
VBSR.1.mod.104	VBSR.1.mod.159	987	45	35	0	0
VBSR.1.mod.104	VBSR.1.mod.161	987	45	15	0	0
VBSR.1.mod.104	VBSR.1.mod.171	987	45	29	0	0
VBSR.1.mod.104	VBSR.1.mod.179	987	45	25	0	0
VBSR.1.mod.104	VBSR.1.mod.181	987	45	16	0	0
VBSR.1.mod.104	VBSR.1.mod.189	987	45	13	0	0
VBSR.1.mod.104	VBSR.1.mod.203	987	45	17	0	0
VBSR.1.mod.104	VBSR.1.mod.209	987	45	15	0	0
VBSR.1.mod.104	VBSR.1.mod.230	987	45	15	0	0
VBSR.1.mod.104	VBSR.1.mod.238	987	45	24	0	0
VBSR.1.mod.104	VBSR.1.mod.252	987	45	27	0	0
VBSR.1.mod.104	VBSR.1.mod.261	987	45	17	0	0
VBSR.1.mod.104	VBSR.1.mod.263	987	45	25	0	0
VBSR.1.mod.104	VBSR.1.mod.265	987	45	5	0	0
VBSR.1.mod.104	VBSR.1.mod.285	987	45	26	0	0
VBSR.1.mod.104	VBSR.1.mod.301	987	45	14	0	0
VBSR.1.mod.104	VBSR.1.mod.302	987	45	20	0	0
VBSR.1.mod.104	VBSR.1.mod.309	987	45	8	0	0
VBSR.1.mod.104	VBSR.1.mod.321	987	45	3	0	0
VBSR.1.mod.104	VBSR.1.mod.327	987	45	34	0	0
VBSR.1.mod.104	VBSR.1.mod.331	987	45	49	0	0
VBSR.1.mod.104	VBSR.1.mod.335	987	45	17	0	0
VBSR.1.mod.104	VBSR.1.mod.341	987	45	28	0	0
VBSR.1.mod.104	VBSR.1.mod.346	987	45	21	0	0
VBSR.1.mod.104	VBSR.1.mod.363	987	45	31	0	0
