uniq_isos	regulator
PRDM16	1
TP73	1
HES3	1
ZBTB48	1
THAP3	1
PRDM2	1
PAX7	1
ZBTB40	1
GRHL3	1
ARID1A	1
GMEB1	1
ZBTB8B	1
ZNF362	1
ZSCAN20	1
TFAP2E	1
RLF	1
ZNF684	1
NFYC	1
YBX1	1
ZNF691	1
KLF17	1
DMAP1	1
DMBX1	1
FOXE3	1
FOXD2	1
DMRTB1	1
NFIA	1
FOXD3	1
MIER1	1
LHX8	1
VANGL1	1
ZNF687	1
CREB3L4	1
ZBTB7B	1
NHLH1	1
ATF6	1
PBX1	1
POU2F1	1
TBX19	1
PRRX1	1
ZBTB37	1
LHX4	1
LHX9	1
NR5A2	1
ELF3	1
ZBED6	1
SOX13	1
CNTN2	1
RCOR3	1
ATF3	1
PROX1	1
HLX	1
MIXL1	1
ZNF678	1
ZNF672	1
HES4	1
HES5	1
HES2	1
RERE	1
CASZ1	1
ZBTB17	1
RUNX3	1
ZNF683	1
NR0B2	1
SFPQ	1
MTF1	1
POU3F1	1
HEYL	1
SCMH1	1
HIVEP3	1
FOXJ3	1
TAL1	1
DMRTA2	1
GLIS1	1
JUN	1
ZZZ3	1
GTF2B	1
BARHL2	1
ZNF644	1
GFI1	1
ALX3	1
PHTF1	1
NHLH2	1
TBX15	1
ZNF697	1
ARNT	1
RFX5	1
POGZ	1
RORC	1
MEF2D	1
ETV3L	1
ETV3	1
USF1	1
NR1I3	1
LMX1A	1
RXRG	1
ZNF648	1
ZBTB41	1
ZNF281	1
KDM5B	1
MYOG	1
ELK4	1
IRF6	1
BATF3	1
ESRRG	1
ARID4B	1
ZNF695	1
ZNF670	1
ZNF669	1
ZNF124	1
ZNF496	1
ZNF692	1
SOX11	1
ID2	1
GRHL1	1
KLF11	1
MYCN	1
MSGN1	1
NCOA1	1
TCF23	1
ZNF512	1
FOSL2	1
MTA3	1
SIX3	1
EPAS1	1
FOXN2	1
REL	1
OTX1	1
MEIS1	1
MXD1	1
VAX2	1
EMX1	1
NOTO	1
TLX2	1
TCF7L1	1
ATOH8	1
ZNF2	1
ARID5A	1
NPAS2	1
POU3F3	1
ZC3H6	1
FOXD4L1	1
GLI2	1
CCNT2	1
TBR1	1
CSRNP3	1
SP5	1
DLX1	1
SP9	1
HOXD13	1
HOXD12	1
HOXD11	1
HOXD10	1
HOXD9	1
HOXD8	1
HOXD4	1
HOXD3	1
HOXD1	1
CREB1	1
SP140	1
SP140L	1
SP100	1
LRRFIP1	1
TWIST2	1
MYT1L	1
E2F6	1
OSR1	1
DNMT3A	1
ZNF513	1
SIX2	1
BCL11A	1
FIGLA	1
EGR4	1
LBX2	1
FOXI3	1
ZNF514	1
RFX8	1
ZC3H8	1
PAX8	1
EN1	1
TFCP2L1	1
ZEB2	1
NR4A2	1
DLX2	1
SP3	1
ATF2	1
EVX2	1
NFE2L2	1
NEUROD1	1
STAT1	1
STAT4	1
SATB2	1
KLF7	1
IKZF2	1
ZNF142	1
FEV	1
PAX3	1
SP110	1
GBX2	1
HES6	1
THAP4	1
BHLHE40	1
PPARG	1
NR2C2	1
NR1D2	1
RARB	1
ZNF860	1
ZNF619	1
ZNF620	1
ZNF621	1
ZBTB47	1
ZNF662	1
ZNF589	1
MITF	1
ZNF654	1
NFKBIZ	1
BBX	1
NR1I2	1
ARGFX	1
SOX14	1
ZBTB38	1
ZIC1	1
TSC22D2	1
MYNN	1
ZNF639	1
SOX2	1
TP63	1
HES1	1
SATB1	1
THRB	1
EOMES	1
UBP1	1
LRRFIP2	1
CSRNP1	1
SMARCC1	1
PBRM1	1
HESX1	1
FEZF2	1
FOXP1	1
POU1F1	1
ZBTB11	1
ZBED2	1
ZNF80	1
ZBTB20	1
ZNF148	1
KLF15	1
ZXDC	1
GATA2	1
FOXL2	1
TFDP2	1
ZIC4	1
SHOX2	1
MECOM	1
ETV5	1
BCL6	1
ZNF141	1
ZBTB49	1
MSX1	1
TADA2B	1
RBPJ	1
KLF3	1
GSX2	1
REST	1
THAP6	1
PRDM8	1
THAP9	1
ATOH1	1
NFKB1	1
SMARCA5	1
SMAD1	1
POU4F2	1
HELT	1
ZFP42	1
ZNF732	1
ZNF721	1
MXD4	1
LYAR	1
HMX1	1
ZNF518B	1
NKX3-2	1
PHOX2B	1
NFXL1	1
CLOCK	1
HOPX	1
NKX6-1	1
LEF1	1
PITX2	1
NEUROG2	1
PRDM5	1
ELF2	1
ZNF827	1
NR3C2	1
HAND2	1
IRF2	1
AHRR	1
IRX1	1
PRDM9	1
ZNF131	1
ISL1	1
SPZ1	1
NR2F1	1
PRDM6	1
TCF7	1
SMAD5	1
EGR1	1
PURA	1
POU4F3	1
HMGXB3	1
CDX1	1
FOXI1	1
