TP_2077_Tumor	TP_2078_Tumor	SC_9137_Tumor	SC_9142_Tumor	MO_1469_T	TP_2081_T	TP_2093_T	TP_2096_T	SC_9175_T	MO_1510_T	MO_1511_T	SC_9176_T	SC_9178_T	SC_9146_T	SC_9181_T	SC_9183_T	SC_9190_T	SC_9192_T	MO_1556_T	MO_1012.Tumor.Subcutaneous_nodule	MO_1020.Tumor	MO_1015.Tumor	MO_1040.Tumor	MO_1054.Tumor	MO_1071.Tumor	MO_1084.Tumor	MO_1094.Tumor	MO_1095.Tumor	TP_2001.Tumor	TP_2010.Tumor	TP_2009.Tumor	SC_9012.Tumor	MO_1118.TM	MO_1128.Tumor	MO_1124.Tumor	SC_9017.Tumor	SC_9022.Tumor	SC_9023.Tumor	SC_9026.Tumor	SC_9028.Tumor	SC_9029.Tumor	SC_9032.Tumor	SC_9034.Tumor	SC_9036.Tumor	SC_9037.Tumor	SC_9043.Tumor	MO_1179.Tumor	MO_1184.Tumor	MO_1176.Tumor	MO_1192.Tumor	SC_9050.Tumor	SC_9055.Tumor	MO_1219.Tumor	SC_9057.Tumor	SC_9058.Tumor	MO_1241.Tumor	MO_1262.Tumor	MO_1202.Tumor	SC_9068.Tumor	TP_2054.TM	SC_9080.TM	SC_9081.TM	SC_9083.TM	SC_9031.TM	MO_1336.TM	MO_1337.TM	MO_1339.TM	SC_9086.TM	SC_9091.TM	TP_2060.TM	TP_2064.TM	SC_9092.TM	SC_9093.TM	MO_1410.Tumor	MO_1421_Tumor	TP_2069_Tumor	SC_9124_Tumor	SC_9129_Tumor	MO_1447_Tumor	MO_1446_T	MO_1460_Tumor	PROS10448.1115150.Tumor.SM.5EEBK	PROS10448.1115156.Tumor.SM.5EEBN	PROS01448.1115161.Tumor.SM.5SGU1	PROS01448.1115183.Tumor.SM.5SGU3	PROS01448.1115202.Tumor.SM.5SGU5	PRAD.01115362.Tumor.SM.7A15P	PRAD.01115444.Tumor.SM.6B2K9	PRAD.01115467.Tumor.SM.6B2KD	PRAD.01115468.Tumor.SM.6B2KE	PRAD.01115526.Tumor.SM.A4KND	PRAD.01115528.Tumor.SM.A4KNF	PRAD.01115549.Tumor.SM.A4KNH	PRAD.01115550.Tumor.SM.A4KNI	PRAD.01115554.Tumor.SM.A56E4	PRAD.01115574.Tumor.SM.A56E7	PROS12319B.SU2C.06115114.Tumor.SM.4W2N9	PROS12319B.SU2C.06115116.Tumor.SM.4W2NB	PRAD.06115124.Tumor.SM.7LGU1	PROS01448.6115234.Tumor.SM.67ERX	PROS01448.6115235.Tumor.SM.67ERY	PROS01448.6115237.Tumor.SM.67ERZ	PROS01448.6115247.Tumor.SM.67ES2	PROS01448.6115251.Tumor.SM.67ES6	PRAD.6115381.0.Tumor.SM.7LGU3	PRAD.6115388.0.Tumor.SM.7LGUA	PRAD.6115399.0.Tumor.SM.7LGUL	PRAD.6115590.0.Tumor.SM.B2XRS	PRAD.6115594.0.Tumor.SM.B2XRW	PRAD.6115595.0.Tumor.SM.B2XRY	PRAD.6115597.0.Tumor.SM.B2XS5	PRAD.6115600.0.Tumor.SM.B2XS6	PRAD.6115604.0.Tumor.SM.B2XS9	PM14.TM	PM155.TM	PM158.TM	WCM209_Z2	WCM335_X1	WCM252_Z3	WCM393_Z3	WCM665_X1
SNAPC4	3.83872936252183	3.34208338569974	2.05433338720525	2.31977684123693	2.77098951808191	2.67856037137564	2.5303255832608	2.52273138749457	2.26102450341348	3.25939592382891	2.7233625927071	2.53370315348227	1.96966078615603	1.12600584912655	2.32469707167266	2.68715877761443	2.83894312588421	2.25696463273583	2.40225457685491	3.47478776013216	3.37218492267696	3.27299274429609	3.92417130997137	3.5697178694797	2.97533752873903	4.66800105329534	2.69921053584306	2.2286200157696	3.80502053209506	3.71726119357227	3.67538560578527	2.23994216383519	2.96383119421913	2.60240835422921	3.00193578018333	2.59729911300094	2.40889569166768	2.43052231808706	3.41332879934064	2.83981737707151	3.42798404016938	3.22772184989013	2.73892274952653	2.70955352682355	2.33454855552622	3.19341639465136	2.7779372258937	2.55315234874913	5.72771257838647	2.65110195272768	4.26515828975362	3.21416973602191	2.88889587870116	3.02681696553087	4.54857787850179	2.77706848542386	3.69026430035027	3.12238350256137	3.30749670586034	2.64082743396579	3.15021033487622	3.09372379059496	3.55493685154224	2.60411213508769	2.62287672682731	3.3065876393017	3.37949132997927	2.60326020093018	2.42968931474296	2.87309501295305	3.71819278741756	3.67445607202775	4.00521322745847	2.90912072896744	2.24642137808697	3.33661690423327	3.79753698903982	2.28870141663406	3.71353526030794	1.65897864834286	3.70050008570538	2.37575301476607	3.05888538961035	2.88274823655587	2.4039142689436	2.2577763951771	1.87813105157749	2.15155689581362	1.87813105157749	2.05198396837774	3.13045594771412	3.7863167137157	2.00056716534767	1.47053530105299	1.69201754143371	1.26618490356127	3.13225052839383	2.72681812929849	1.1084524497914	2.55315234874913	3.87249114703791	2.99217581117661	2.88187029869359	2.46726927145472	1.41435529991614	2.58368993978233	1.41170717896068	1.49426141274152	3.14751474687352	2.66653668081057	2.34030201661932	1.78770724319081	1.25245623716843	2.88011464590549	2.92409441124181	2.88011464590549	4.47269738968681	3.63916769017428	3.52633444185331	3.42706768794991	3.10535879134272
SPI1	2.12927270884465	1.99824244399725	3.21597589790441	5.40889014913939	2.69060047557431	3.30931501079251	1.82707831368196	2.38733501634102	1.83454835404058	1.32572488067047	4.06664661007934	2.52357482138873	3.15470424398044	2.45722908211217	2.65452951858713	3.34117216512381	4.00426929290351	3.88000084157072	1.13189060169804	3.43348326782835	5.14906474079808	3.58081179678432	2.35924110930014	2.14916508777988	2.13801667739456	2.86608016010397	2.67340534462195	3.40692143942503	2.13483547073596	2.24804224790815	4.06191560383992	2.14040376642343	1.33728772317654	3.4206547122106	0.762211108798677	3.52356899844422	2.58623994046396	4.63521852083242	3.43073341539506	3.75269258145707	1.28251095063006	1.76338231395009	4.7075692709073	3.45917141914371	2.54553609553881	3.35575840342929	5.54900326774599	3.44632219801855	1.5916966875878	1.9688906292504	1.78032061747779	3.12238350256137	4.87203489959328	2.92585740103183	2.53116983918161	1.24810454834444	1.69851627774592	2.13722120648968	1.90539978033773	3.74616101829449	2.45555704488206	2.7199083615281	3.73776641826857	2.42885640784397	3.41332879934064	2.6639623221439	1.78401225776965	4.49573228243665	2.28788566240306	5.4666649953356	3.42890044550383	3.80221388957162	3.60857688325902	3.73403661756977	4.89142433877126	4.00993344985504	0.845001569222054	3.96465745661061	1.36772191351954	2.43468877992653	2.46392102670618	6.68467755077094	2.54469029650806	2.00366848527329	3.02414855656488	1.79584795867717	1.93512587022072	4.49573228243665	6.70549514279511	1.60645797385904	4.8604051937055	3.07495216082383	2.62800162594388	3.84810237353369	4.45639038821413	2.24075169194491	1.82558587883118	4.59283567504917	3.68282350755058	2.41970081007068	2.66482035730155	1.1154556348003	1.77294739439793	2.16592886173705	4.72495298567497	1.65826371589742	4.87688148926411	1.77810724126574	1.23633313949069	2.81187934161023	2.38567925711207	2.33454855552622	3.35393434284706	2.82845806824339	2.96914032972626	6.84037548447221	1.91528722880936	3.34299466233366	1.64541913271055	5.72279764109559	1.20502879050513
BATF2	0.483286833428048	0.868137099715069	0.577775768373695	3.18440332351234	0.582551766376954	0.628287102337206	0.757058512597385	0.726124985190114	0.495851016044723	1.22277689862683	1.57420723236756	0.752392452555888	2.30831066038081	2.77012141122519	0.605565290564808	0.974066828871092	1.32252214439123	0.764089958712902	0.322649046020157	0.85702653520587	3.5272563561881	2.42885640784397	0.695074707492139	0.479024005813049	0.998623599586939	0.617482522557499	4.09031479812803	1.24128233283988	0.521195852873569	0.556190871392869	0.688874205520729	2.00366848527329	1.83305329835083	0.64768229904832	1.13306956596417	1.7340948585847	0.442692033641276	1.28881930936516	0.684465789355451	1.3014843795798	1.63759230533989	0.267294545023748	0.3260234438813	1.09278407974486	1.56793336118632	0.478669801638246	1.10495995737109	0.905604580674345	0.0648772302032093	0.754723326154897	0.42171588536463	0.671342956904441	1.07838621359081	0.609248644368203	0.598644845914434	1.47594205358971	0.32041063982462	0.520450406244673	0.25904248056048	0.957352583789337	1.16815008565372	0.974066828871092	0.58614947001441	1.90615959545662	0.689315987025647	0.993684415881697	0.710722774878572	0.703543327233012	0.610069011313531	3.2232029680992	0.638361710327547	0.914462301213515	2.2076491874945	3.84435268041177	0.725213474891586	1.99824244399725	0.398168083901757	1.24190171768642	0.221682290939048	0.280328329305506	0.79645342972021	1.5443394326129	0.683146595560513	0.618723399245815	1.00578251018929	0.424016453229001	0.255338166615302	0.58614947001441	1.71735349701194	0.417137199985892	1.4276330645041	0.0791099574409569	0.581355524545027	0.942929964662405	0.992588707775679	2.09522380577218	0.634992701252114	3.57064209704306	1.38601843798347	0.525682155911384	0.830604570076649	0.470917362583683	0.706230476438545	0.862571334693931	0.588555427124866	0.376032766890738	3.50146171789289	1.5305404095435	0.477608140207126	0.506043454421362	0.630796639807709	0.731150587799985	2.63826072719	0.447776731202073	2.01764827093599	0.94452626771794	0.499476734065662	0.222824775956393	0.626617449564443	0.478315756000378	0.379413208659113
ZNF597	1.28062159224604	1.58679046712057	1.9343612811748	0.862066395644921	0.962188054534005	0.671777912367147	1.5783963930459	1.69996197045493	1.51200611404273	2.03869065560735	1.16575338694154	1.31868413038182	1.4698601406056	1.01075565191326	1.17355239127728	1.45034677359387	1.78032061747779	1.07380125881073	1.48610586882357	0.949858493173763	1.1366104832752	0.717493393635694	1.45235944204582	1.14193317014471	0.821251061734923	1.52160291391996	1.27999212938868	0.699078453064526	1.34373378947442	1.22216259224655	1.04595564204357	0.914984900268247	1.1366104832752	0.769743086128502	0.754723326154897	0.873723828357962	0.897830469045713	1.10554161786742	1.87058578999306	1.55819760958242	1.7195330304836	1.91452589901264	0.804184599137819	0.878820862042239	0.928633157455885	1.25993484381453	0.855517955995674	1.10147353721541	1.22462080296631	1.43696424373669	1.13897444689872	1.3014843795798	0.880353349840208	1.14726941632643	1.71227274351192	1.04708419972517	1.31549018118238	1.66828560810029	1.44833548303296	1.11195101033198	1.43229487945261	1.19772529011324	1.3302154102926	0.972442089595553	0.886498888417186	1.43629672995471	1.09451893003359	1.17295146992613	0.893184694525036	0.925999418556223	1.34567070415449	1.2487257290306	1.63901408397651	1.37750832002965	0.828137056833561	0.891639219077377	1.90920012021524	0.899899758155597	1.37816200383221	1.59309977202143	0.983302929202452	1.26368293031223	1.22831304268725	1.84802735120495	1.45840570494903	1.41435529991614	1.73555405652324	1.02855025042952	1.62694715743574	1.21909352451209	0.0220805435327619	0.0748538846067636	2.03790976097389	1.19894088876799	1.29261206766546	1.06580371912405	1.73336546477954	0.971900854030373	1.25121208244463	1.4209864487617	0.98985244264805	1.6869707675579	1.96119581740709	1.37946984210036	1.11020097180756	1.58609015998082	1.18137948592815	0.988212744686729	1.30021497637415	1.30466069896642	1.64399479317942	1.39126858397782	1.32764843688906	0.692413244769109	0.909766692454624	1.04821343903738	2.37162129854977	1.75604008436522	0.742187819126608	1.11370256483908	1.5079021761188
ZEB2	1.47729525952127	1.43629672995471	1.54918308188137	2.95940885949766	1.99204851321106	1.98354454327585	1.16934943364194	1.61845421843258	1.39784532462757	1.30211932221755	3.11252424896577	2.24966354349929	1.50380363591646	1.71082234182103	1.08010836905334	2.29359812771525	1.5714173816432	2.58794038254905	1.0168527798718	1.97659771315005	3.46927440099068	1.93206826292566	2.096013234809	1.80252052533595	1.83903665821856	0.975150848772157	1.6142154999195	1.31549018118238	1.82857127341797	1.61280374423943	3.30022578003115	0.780171768817445	0.592578682904137	2.6433949110461	0.360591906506974	1.2580629952285	0.896796862996457	2.30503831354877	2.0999621070582	1.52572478448063	0.821251061734923	1.09162835818741	3.41882291321301	2.63826072719	1.16335935246807	2.3411243451724	3.34117216512381	3.10088248864405	1.72389581303459	1.80771773200122	1.32957342791642	2.03790976097389	1.87586612540651	1.69490447760742	1.81962139544696	0.854010936324189	1.33149985290745	1.66112429298164	2.14518098373819	2.53285862433583	2.10470454719813	1.76411728035739	2.20845440375675	2.04728831224205	2.24642137808697	1.60998196058759	1.87813105157749	2.98242425589644	1.29071496317728	2.49579008161311	1.84427895030598	2.17633102391697	1.36902472356411	2.24237106868369	4.36636678548391	1.48407038110607	0.677010670502617	2.46810656887685	1.47932620556079	1.8751114065389	0.460814892255798	3.93922767238901	2.79881061032948	1.69562655956264	2.76925338375222	1.8360439328213	2.00211758382717	2.95940885949766	3.96088833810848	1.30466069896642	3.28478731132109	3.48490040229152	1.43029603364104	4.1168488921592	3.14481972811765	1.54295686320136	1.42696770792261	3.20333787321431	3.65866096878423	1.98895445851698	2.67340534462195	1.130123413532	2.61604837236002	2.33372703859601	3.93263930230779	1.36902472356411	3.35028688966126	1.29451062203133	1.52985201679655	1.73774387859865	1.93054020862428	2.57434675601393	1.83454835404058	3.05086010401691	1.76338231395009	3.38131848002629	2.60240835422921	1.73847409249427	1.71227274351192	2.61007811939152	2.92497586993318
EP300	4.55242425228926	4.15575048061953	2.28707001237438	3.06513101918461	4.14815549520321	3.14751474687352	3.52910033448018	3.74522811112273	2.77098951808191	4.36158532251469	3.76015981596398	4.0477278969041	2.90824058016922	2.60496415665909	2.38319635949247	4.06286173449744	3.37218492267696	3.13584045561846	3.21687906981411	2.73719254524759	3.49409909465962	3.35667051710652	3.73776641826857	3.73776641826857	3.61042941321067	3.5438593161451	3.96371512044754	2.87134085082494	4.36732316492819	3.66330521706674	3.19702334662965	3.63823994777272	3.58081179678432	4.48325313566212	3.90442486813011	3.56417352477664	4.24229058608102	3.41149785657901	3.57618848050255	3.32204953915957	4.2689713127736	3.722851418498	3.03660636716299	4.4640632954137	3.66702143918774	3.5272563561881	3.71446667725359	4.44871922507808	4.47173793781905	4.89045467230591	3.91100510764986	3.9373450891802	3.68189361144375	4.973919140859	4.33864443889648	4.09315644425645	3.51159062056313	3.95429383482924	3.19161328744034	3.97125486274933	4.41326303871803	4.72495298567497	3.22952982420743	3.8171869837813	2.86871016848434	3.42798404016938	4.20326690887136	3.88563478395867	3.39502906188956	3.33388442244279	4.31285624181076	4.48997211646063	3.42157069176583	3.22862580696814	3.66980908500898	2.71731854640533	4.58802246602357	4.04583680738253	4.68729771671693	2.94968597105996	3.93075725651168	4.86815799944411	4.09694579039747	4.53800246836728	3.4234028108353	4.68343763241028	3.3685330382801	3.04194949592439	4.66800105329534	3.4417356801183	5.92847811065718	6.96244919439512	3.87906199026569	3.53832321081574	3.90536478506978	3.90066559217135	3.98351205641141	2.98774224004043	2.82496549995131	4.05151050378729	3.63360193351492	3.88469569432942	3.78818633814296	3.59561449144809	3.2232029680992	3.39594353566674	3.12866162269801	3.37401119506674	3.6986386308122	3.04551293159856	2.9161645476715	2.85381572998768	3.12955875323051	5.6265247066619	3.15290649118306	4.79843128171777	5.18513790320734	5.73656019390856	3.38588731178495	5.40106008045402	5.84378699956656
IRF8	1.4990288387741	1.01020239518487	0.929160423585864	4.68826279624954	0.941866625532552	2.09127839019596	1.9504437853273	1.29514379554331	1.46379054274146	1.86757128386386	3.37035887033071	1.89023010759606	2.78749857748156	2.96117758087933	2.06374163846882	2.96825529731639	1.38274218174184	1.86681797919244	1.00633439594965	1.88115274710554	4.38262915503866	1.83754003433376	1.48135851527825	0.858033121080707	1.13720122284855	1.43963583669317	2.07867248891703	2.4355223610068	1.74066555318245	1.48068092724805	2.61519521828535	0.769743086128502	2.35924110930014	2.31240341251488	1.26493359219535	1.61280374423943	2.01220705977646	2.48487228384766	0.777319286827508	0.93974201852247	0.234418745925611	0.466023785867155	1.86004404014256	3.13045594771412	1.41700590118018	1.38274218174184	2.57774303561148	1.66900251414064	1.32124216736837	1.40641838688702	0.921269575880108	1.73190708771498	2.8406917044409	1.43362821372707	1.55958666862275	0.351980691301607	0.744499728569307	0.954672243458164	1.06352482161607	2.66739496907817	1.43029603364104	1.55819760958242	0.937090143965368	1.33407064870729	1.25183407832808	1.3110253736541	1.23077781581301	1.10786994621159	0.970278180052573	3.41149785657901	2.0715947316568	1.1213101394365	1.47932620556079	2.60496415665909	2.34030201661932	2.76404688824289	0.40357983835242	4.33864443889648	1.09915263261669	2.93644140806102	1.26243291813767	4.58032263071856	3.65773225664913	1.41435529991614	2.24723175975341	2.14199572224262	1.5079021761188	2.50840705466146	4.47845466640249	1.16335935246807	4.63232727833004	2.42053265313343	1.42364324100031	2.40972627051051	3.24400225452386	2.04807062670486	1.39126858397782	4.89627297655059	3.35667051710652	2.32059662383859	1.42630250569302	0.826166164810805	1.96196474503954	2.10233281039553	2.48319402310096	1.13483927018037	4.06570033828474	1.26743686418378	0.924421248846526	2.13324554482955	2.29523119629409	2.61775494092011	2.04259690644816	3.81531476486164	3.08656927626081	4.46694108344573	1.35537666264201	1.24500109228738	1.34567070415449	1.84427895030598	0.340012778348902
ELK3	2.76664977804106	3.03838713972679	3.20514257416963	4.58032263071856	3.09372379059496	3.6271106722796	2.63997177939486	2.79793998451072	3.08299359371459	1.94737622825953	3.69212494866096	3.4454047893078	3.74895999993785	4.24610062157819	2.35347139804087	3.7424296501	3.14212527955244	3.93358038288559	2.67941983584472	2.36666652569886	3.71539813846383	2.86608016010397	3.37127186898264	3.45091002853315	3.32569002323422	2.07945948808876	3.59283805135652	2.55823390243636	2.55145921698758	2.3148602981965	4.23467202327846	2.17312836430647	1.27307871544391	3.178998446418	2.23589612771776	2.60752074543018	3.26211422907751	3.62432940479862	3.47478776013216	3.19071182614919	2.41388062656613	2.21812546375098	4.28327453473284	3.53094451207452	3.34390599499362	4.04110970892673	4.76264291462764	3.93263930230779	2.01143022409686	3.69770797042711	2.77012141122519	3.53186667553719	2.56331868646846	3.23857329806629	2.82758481102558	2.51598721595026	2.95498829787086	3.18170060627103	2.99749839077919	4.18520104249778	3.1565022486602	2.62629298089175	3.45549916786844	2.15394971153029	3.29931717290308	2.81536728541641	3.28841838758578	4.26039270693562	2.86608016010397	3.49133895069432	3.15290649118306	3.6317470539436	3.18350235589055	3.40234636786638	5.16368620057142	3.0838874157401	2.3931332811266	3.70143088016011	2.6828585303153	3.63545699955771	1.18560569234204	3.43806741343527	3.92511204369374	3.22229937269702	3.83966648016879	2.93203014291214	3.5438593161451	3.26211422907751	3.46559986281477	2.47648472812899	3.03037579724731	3.43806741343527	2.25209628440284	5.1705108572102	4.38167231526379	3.77043175244845	3.05977742237068	5.07114967593563	5.18903908580964	3.47203084809501	4.5130185002219	2.06060367725588	3.23314649410379	3.28751053148603	5.34236438357472	2.8511895607034	4.79939895027229	3.75175937122719	3.27389966844401	3.27752794964532	3.93075725651168	3.87624567527967	3.32386966779699	3.6122821324132	2.69490446880766	3.05264303203164	2.8197289539854	3.58636136708541	2.51767270829095	1.89705017433231	2.31076600283368
RFX1	3.25848994008254	2.85819418929543	2.64853217156483	2.49831180779699	2.53285862433583	2.67426430600775	2.26589983614828	2.44386345182891	2.46057429598224	2.70093354215995	2.93908903038247	2.30912900486196	2.13483547073596	0.890095301825849	1.69923905466804	2.70955352682355	2.08970103197879	2.51767270829095	2.08260864601506	2.02387398621903	2.61519521828535	3.50330288135541	2.92850242838875	2.94173729887033	2.85731834656726	3.17989910437961	2.12212874320866	2.03947166881396	2.93644140806102	3.18170060627103	1.82036649549826	2.34852985293404	3.20514257416963	3.66795060886573	3.3484634975666	2.58029117724052	3.1807998243421	2.56162340010628	2.57689383249317	2.63141995039307	3.83966648016879	3.3466403288104	2.15394971153029	2.88099243513049	2.83894312588421	3.06959417954192	3.11073249611457	2.06688147319639	3.61784142329122	3.24400225452386	3.48398081438648	3.10535879134272	2.70610454366694	3.13135320611362	3.39960197242918	2.69576551647662	2.88977440955685	2.43885764622014	3.05977742237068	2.63398459744806	2.89680531532203	3.33297370782889	3.09372379059496	2.91880718179249	2.22054566501507	2.63312962911264	3.05710152445206	2.54299896976201	1.57490506059833	2.59815043406626	3.53463346423781	3.36123191808447	3.30022578003115	2.70524250380772	2.45890149926356	2.57944170802811	2.79793998451072	2.76751756711963	3.08209983748963	0.930743258558711	3.31931977201751	2.88889587870116	2.38154158908593	2.3931332811266	2.22619657924829	2.26427430300732	1.66900251414064	1.49494202181902	2.06688147319639	1.62694715743574	1.01574267009057	0.612945579767762	2.01764827093599	1.5505683107544	1.63759230533989	1.83454835404058	2.41970081007068	1.30466069896642	2.53792716316934	2.26671276089469	2.45472116884813	2.51093294599821	2.33619189417537	2.08891252620083	1.76705849551359	2.01687059522868	1.91148184000522	2.09759243843434	2.23994216383519	2.08891252620083	2.20121137584006	1.92672226139869	1.63688162975255	2.91088124582139	2.09364529348143	2.66739496907817	2.09364529348143	2.26264919197373	2.70782887058401	2.89592619395711	1.30275442550519
ZC3H4	3.81250674765379	3.42431895028808	2.78923802810329	3.21055814095401	3.75455913146128	2.73113938176536	3.03037579724731	3.70608552144891	2.50167540867573	3.74895999993785	3.66423420405401	3.16819539949916	2.78836826352453	1.60645797385904	2.50840705466146	3.32295957511218	2.93291225189189	2.91528381516171	2.9267390044995	3.70794768967455	3.21507278662905	3.40692143942503	3.71446667725359	3.60857688325902	3.52080400504166	3.85935534529209	3.57526396220192	2.61775494092011	3.89596738056634	2.99217581117661	3.04105880558269	3.71819278741756	3.86592226259632	3.7424296501	4.17949847015004	3.20153341669942	4.24610062157819	3.0946183994296	3.18350235589055	3.20694751929286	4.10831713901932	3.97973994038436	3.07584538934988	4.08557941530426	3.6122821324132	3.4454047893078	3.02059163292737	3.49133895069432	3.91664683384439	3.63823994777272	3.58358636535319	3.87342971919631	3.12417693053514	3.94299329799233	3.56324963770588	3.49501924457395	3.97785410599112	3.3685330382801	3.7051545040779	3.60394638782166	3.58081179678432	4.53992503853817	3.26302044871954	3.76762980138905	2.93732387697508	3.46192615455146	3.47754513629269	3.32204953915957	2.30994745236141	3.48214179241732	3.9373450891802	4.01748770558068	3.50606500632901	3.46192615455146	3.25214970931513	3.05799342362537	4.08273860299159	3.65401786742243	3.7424296501	1.6898538017309	4.24514806568122	3.65123255854656	2.99572391993607	2.92850242838875	3.00459904362761	3.01792465772652	3.24309727927607	2.33454855552622	3.07405899842218	2.23994216383519	4.40847458671187	3.89596738056634	3.15021033487622	2.43135541783175	2.8511895607034	3.28024977346341	3.78351259412383	2.70179516933172	2.89153169307755	3.26755242963088	3.34937516571255	3.45366335531828	2.90296122461086	2.74324967437648	2.62800162594388	3.73496900224266	2.3625402937689	2.66138872356137	3.24762275108555	2.93555901105753	3.0642385865335	3.19161328744034	2.50756527541682	3.92040876189209	2.66482035730155	3.17089532049103	3.83217068441225	3.46376290482363	2.7441153014454	3.85466589908615	4.11495270783606
